,precision,recall,f1-score,support
0,0.8264474229653171,0.8174115074484078,0.8219046310292704,7317.0
1,0.7795743276687015,0.7900016719612105,0.7847533632286995,5981.0
accuracy,0.8050834711986765,0.8050834711986765,0.8050834711986765,0.8050834711986765
macro avg,0.8030108753170093,0.8037065897048092,0.803328997128985,13298.0
weighted avg,0.8053654570329168,0.8050834711986765,0.8051952211394211,13298.0
