Policy,Year,Country,Policy_Content,URL,Subject,Document_Type,Keyword,Geographical_area,Entry into force notes,Source
Resolución Nº 3.349 - Regula la exigencia de las garantías de los prestadores de servicios turísticos.,2013.0,Colombia,"La presente Resolución regula la exigencia de las garantías de los prestadores de servicios turísticos, que deberán acreditar para efectos de su inscripción en el Registro Nacional de Turismo la constitución de una garantía expedida por una empresa de seguros o por una entidad financiera constituida legalmente en Colombia.",https://www.ecolex.org/details/legislation/resolucion-no-3349-regula-la-exigencia-de-las-garantias-de-los-prestadores-de-servicios-turisticos-lex-faoc126862/?type=legislation&xsubjects=Mineral+resources&page=1190,Environment gen., Regulation,"Tourism,Institution,Capacity building,Registration,Inspection,Concession,Contract/agreement","Amazonia, Americas, East Pacific, Latin America and the Caribbean, LATIN AMERICA AND THE CARIBBEAN FAO, North-East Pacific, South America, South-Eastern Pacific",,ECOLEX_Legislation
Regulation amending the Law on energy efficiency in the direct consumption.,2013.0,Croatia,This Regulation amends some provisions part of the Law on energy efficiency in the direct consumption (Official Gazette 152/2008 and 55/2012).,https://www.ecolex.org/details/legislation/regulation-amending-the-law-on-energy-efficiency-in-the-direct-consumption-lex-faoc138573/?type=legislation&xsubjects=Mineral+resources&page=1190,Energy, Regulation,"Energy conservation/energy production,Institution","Europe, EUROPE AND CENTRAL ASIA, Mediterranean, Southern Europe",This Regulation enters into force on the day after its publication in the Official Gazette.,ECOLEX_Legislation
Regulation on procedures for the measurement of emissions from stationary sources.,2013.0,Montenegro,"This Regulation prescribes the manner for the correct and mandatory measurements of (air pollutants) emissions from stationary sources on the territory of Montenegro, including the concrete measurement procedure, methods for the verification of the correctness and calibration of the measuring device, further also providing the process for the assessment of obtained results and the way in which the data will be delivered to the national information system for environmental protection.",https://www.ecolex.org/details/legislation/regulation-on-procedures-for-the-measurement-of-emissions-from-stationary-sources-lex-faoc139276/?type=legislation&xsubjects=Mineral+resources&page=1190,Air & atmosphere, Regulation,"Monitoring,Data collection/reporting,Air quality/air pollution,Pollution control","Europe, EUROPE AND CENTRAL ASIA, Mediterranean, Southern Europe",This Regulation enters into force eight days after its publication in the Official Gazette.,ECOLEX_Legislation
Décret n° 2-13-323 du 23 ramadan 1434 (1er août 2013) modifiant le décret n° 2-69-313 du 10 joumada I 1389 (25 juillet 1969) réglementant les encouragements de l’Etat en vue de l’acquisition du matériel agricole,2013.0,Morocco,Le présent décret modifie l’article 2 du décret n° 2-69-313 du 10 joumada l 1389 (25 juillet 1969) réglementant les encouragements de l’Etat en vue de l’acquisition du matériel agricole.,https://www.ecolex.org/details/legislation/decret-n-2-13-323-du-23-ramadan-1434-1er-aout-2013-modifiant-le-decret-n-2-69-313-du-10-joumada-i-1389-25-juillet-1969-reglementant-les-encouragements-de-letat-en-vue-de-lacquisition-du-materiel-agricole-lex-faoc134777/?type=legislation&xsubjects=Mineral+resources&page=1190,Agricultural & rural development, Regulation,"Agricultural development,Subsidy/incentive,Equipment","Africa, Mediterranean, NEAR EAST AND NORTH AFRICA, North Atlantic, Northern Africa",,ECOLEX_Legislation
Decree by the Council of Ministers No. 2013/5243 regarding declaration of some areas in central district in Tokat as areas under risk of natural disasters.,2013.0,Turkey,"This Decree sets forth that the Council of Ministers declares some areas in central district in Tokat to be areas under risk of natural disasters based on Article 2 of Law No. 6306 on restructuring of areas under risk of natural disasters, upon the request of the Ministry of Environment and Urbanization.",https://www.ecolex.org/details/legislation/decree-by-the-council-of-ministers-no-20135243-regarding-declaration-of-some-areas-in-central-district-in-tokat-as-areas-under-risk-of-natural-disasters-lex-faoc151374/?type=legislation&xsubjects=Mineral+resources&page=1191,Environment gen., Regulation,"Risk assessment/management,Disasters,Urban land","Asia, Black Sea, EUROPE AND CENTRAL ASIA, Mediterranean, Middle East, Western Asia",,ECOLEX_Legislation
Decree by the Council of Ministers No. 2013/5224 regarding declaration of some areas in central district in Amasya as areas under risk of natural disasters.,2013.0,Turkey,"This Decree sets forth that the Council of Ministers declares some areas in central district in Amasya as areas under risk of natural disasters based on Article 2 of Law No. 6306 on restructuring of areas under risk of natural disasters, upon the request of the Ministry of Environment and Urbanization.",https://www.ecolex.org/details/legislation/decree-by-the-council-of-ministers-no-20135224-regarding-declaration-of-some-areas-in-central-district-in-amasya-as-areas-under-risk-of-natural-disasters-lex-faoc151371/?type=legislation&xsubjects=Mineral+resources&page=1191,Environment gen., Regulation,"Risk assessment/management,Disasters,Urban land","Asia, Black Sea, EUROPE AND CENTRAL ASIA, Mediterranean, Middle East, Western Asia",,ECOLEX_Legislation
Foreign Ownership of Land Register Regulation 2013.,2013.0,Australia,"This reprint shows the legislation current as at the date on the cover and is authorised by the Parliamentary Counsel. A new reprint of the legislation will be prepared by the Office of the Queensland Parliamentary Counsel when any change to the legislation takes effect. This change may be because a provision of the original legislation, or an amendment to it, commences or because a particular provision of the legislation expires or is repealed. This Regulation implements the Foreign Ownership of Land Register Act 1988 by setting the values of the fees prescribed under the Act.",https://www.ecolex.org/details/legislation/foreign-ownership-of-land-register-regulation-2013-lex-faoc129062/?type=legislation&xsubjects=Mineral+resources&page=1191,Land & soil, Regulation,"Foreign land tenure,Registration","ASIA AND THE PACIFIC, Australia and New Zealand, Indian Ocean, Oceania, South Pacific",This Regulation enters into force on 1 September 2013.,ECOLEX_Legislation
Ley Orgánica de la Función de Transparencia y Control Social.,2013.0,Ecuador,"La presente Ley Orgánica de la Función de Transparencia y Control Social, tiene por objeto regular la estructura institucional y funcionamiento de la Función de Transparencia y Control Social y de su Comité de Coordinación, con los siguientes objetivos: 1) Promover e impulsar el control de las entidades y organismos del sector público, y de las personas naturales o jurídicas del sector privado que presten servicios o desarrollen actividades de interés público, para que los realicen con responsabilidad, transparencia y equidad; 2) Fomentar e incentivar la participación ciudadana; 3) Proteger y promover el ejercicio de los derechos; 4) prevenir y combatir la corrupción.",https://www.ecolex.org/details/legislation/ley-organica-de-la-funcion-de-transparencia-y-control-social-lex-faoc140678/?type=legislation&xsubjects=Mineral+resources&page=1191,General, Legislation,"Access-to-information,Basic legislation,Governance,Public participation,Equity,Access-to-justice,Institution,Legal proceedings/administrative proceedings,Enforcement/compliance,Court/tribunal","Amazonia, Americas, East Pacific, Latin America and the Caribbean, LATIN AMERICA AND THE CARIBBEAN FAO, South America, South-Eastern Pacific",,ECOLEX_Legislation
"Plan d’action pour le renforcement des capacités nationales pour la réduction des risques, la préparation et la réponse aux urgences au Burundi 2013-2016.",2013.0,Burundi,"Le Burundi est très vulnérable face aux risques naturels et catastrophes associés aux changements climatiques. la Plateforme nationale a sollicité un appui du Système des Nations pour conduire une évaluation des capacités nationales dans le domaine de la réduction des risques, la préparation et la réponse aux urgences du 10 au 21 Juin 2013. L’objectif principal de cette évaluation étant d’aider la plateforme a identifier les défis et problèmes majeurs auxquels le pays est confronté et surtout formuler des recommandations pour le renforcement des capacités. Les recommandations ainsi formulées devraient servir à l’élaboration d’un plan d’action national pour le renforcement des capacités nationales pour la réduction des risques, la préparation et la réponse aux urgences. Le Plan d’Action National comprend une série d’actions prioritaires identifié pour chacun des 5 piliers du Cadre d’Action de Hyogo, y compris l’identification des institutions responsables pour la mise en oeuvre, les partenaires et les ressources nécessaires pour la période 2013-2016. Le document défini ainsi 5 priorités: veiller à ce que la réduction des risques de catastrophe soit une priorité nationale et locale et à ce qu’il existe, pour mener à bien les activités correspondantes, un cadre institutionnel solide; mettre en évidence, évaluer et surveiller les risques de catastrophe et renforcer les systèmes d’alerte rapide; utiliser les connaissances, les innovations et l’éducation pour instaurer une culture de la sécurité et de la résilience à tous les niveaux; réduire les facteurs de risque sous-jacents; et renforcer la préparation en prévision des catastrophes afin de pouvoir intervenir plus efficacement à tous les niveaux lorsqu’elles se produisent.",https://www.ecolex.org/details/legislation/plan-daction-pour-le-renforcement-des-capacites-nationales-pour-la-reduction-des-risques-la-preparation-et-la-reponse-aux-urgences-au-burundi-2013-2016-lex-faoc199806/?type=legislation&xsubjects=Mineral+resources&page=1191,"Environment gen., Water", ,"Disasters,Early warning system/emergency intervention system,Risk assessment/management,Institution,Research,Climate change,Erosion,Capacity building,Flood,Water shortage/drought","Africa, AFRICA FAO, Eastern Africa, Landlocked Developing Countries, Least Developed Countries",2013-2016,ECOLEX_Legislation
"Law No. 12,846 providing for the administrative and civil liability of legal entities for practicing against the national or foreign public administration.",2013.0,Brazil,"This Law, consisting of 31 articles divided into seven Chapters, provides for the administrative and civil liability of legal entities for practicing against the national or foreign public administration. The provisions of this Law apply to business companies and other companies, as well as any foundations, associations of entities, persons, or foreign companies, which have their headquarters, branch or representation in Brazilian territory, even if temporarily. In particular, it establishes that legal entities will be objectively responsible, in the administrative and civil spheres, for the illegal acts foreseen in this Law practiced in their interest or benefit. The liability of the legal entity does not exclude the individual liability of its directors or administrators or any other person, author, co-author or participant in the illegal act.",https://www.ecolex.org/details/legislation/law-no-12846-providing-for-the-administrative-and-civil-liability-of-legal-entities-for-practicing-against-the-national-or-foreign-public-administration-lex-faoc202968/?type=legislation&xsubjects=Mineral+resources&page=1191,General, Legislation,"Governance,Institution,Legal proceedings/administrative proceedings,Monitoring,Access-to-information,Access-to-justice","Amazonia, Americas, Latin America and the Caribbean, LATIN AMERICA AND THE CARIBBEAN FAO, North Atlantic, South America, South Atlantic",This Law enters into force 180 days after its publication.,ECOLEX_Legislation
