Policy,Year,Country,Policy_Content,URL,Subject,Document_Type,Keyword,Geographical_area,Entry into force notes,Source
"Intestate Succession Law, 1985 (PNDCL 111).",1985.0,Ghana,"This Act regulates the devolution of the estate of any person who dies intestate, having regard to international private law and, in particular,  customary law. Any person who dies leaving a will disposing of part of his or her estate shall be deemed to have died intestate under this Law in respect of that part of his or her estate which is not disposed of in the will and accordingly the provisions of this Law shall apply to such part of his or her estate.",https://www.ecolex.org/details/legislation/intestate-succession-law-1985-pndcl-111-lex-faoc140393/?type=legislation&xsubjects=Mineral+resources&page=3669,Land & soil, Legislation,"Inheritance,Land tenure,Institution,Transfer,Legal proceedings/administrative proceedings,Traditional rights/customary rights","Africa, North Atlantic, Western Africa",,ECOLEX_Legislation
Ley Nº 12/1985 - Ley de Espacios Naturales.,1985.0,Spain,"El presente Ley tiene como finalidad proteger, conservar, gestionar y, en su caso, restaurar y mejorar la diversidad genética, la riqueza y productividad de los espacios naturales de Cataluña, los cuales deberán ser compatibles con el desarrollo y utilización de los recursos naturales y ambientales, en el marco de la protección del medio y de la ordenación racional y equilibrada del territorio.",https://www.ecolex.org/details/legislation/ley-no-121985-ley-de-espacios-naturales-lex-faoc143060/?type=legislation&xsubjects=Mineral+resources&page=3669,"Land & soil, Wild species & ecosystems", Legislation,"Land-use planning,Soil conservation/soil improvement,Soil pollution/quality,Soil rehabilitation,Biodiversity,Protected area,Ecosystem preservation,Non-governmental entity,Public forest,Registration,Policy/planning,Protection of habitats,Cultural heritage,Protection of species","Europe, EUROPE AND CENTRAL ASIA, European Union Countries, Mediterranean, North Atlantic, North-East Atlantic, Southern Europe",,ECOLEX_Legislation
Loi nº 154/AN/85 portant organisation de l'administration du Ministère de l'agriculture et du développement rural.,1985.0,Djibouti,"Cette loi porte organisation de l'administration du Ministère de l'agriculture et du développement rural. Le Ministère comprend un secrétariat général et les services suivants, compétents en fonction de leurs domaines d'intervention: agriculture et forêts; élevage et pêches; génie rural et laboratoire d'analyses et de recherches.",https://www.ecolex.org/details/legislation/loi-no-154an85-portant-organisation-de-ladministration-du-ministere-de-lagriculture-et-du-developpement-rural-lex-faoc001129/?type=legislation&xsubjects=Mineral+resources&page=3669,Agricultural & rural development, Legislation,"Institution,Agricultural development","Africa, AFRICA FAO, Eastern Africa, Indian Ocean, Least Developed Countries, Red Sea  Gulf of Aden",,ECOLEX_Legislation
Loi sur les constructions (LC).,1985.0,Switzerland,"L’article 1er établit que la présente loi s’applique à toutes les activités ayant des effets sur l’organisation du territoire qui sont soumises à planification, qui sont soumises ou non à l’octroi d’un permis de construire, et qui ne sont pas réglées de manière exhaustive par d’autres législations. Le texte comprend 153 articles répartis in 4 chapitres comme suit: Droit des constructions (Ier); Dispositions concernant l'aménagement du territoire (II); Mesures et financement (III); Dispositions transitoires et finales (IV).",https://www.ecolex.org/details/legislation/loi-sur-les-constructions-lc-lex-faoc113066/?type=legislation&xsubjects=Mineral+resources&page=3669,Land & soil, Legislation,"Land-use planning,Land tenure,Subdivision of land,Land consolidation,Expropriation,Authorization/permit,Enforcement/compliance","Alps, Europe, EUROPE AND CENTRAL ASIA, North-East Atlantic, Western Europe",,ECOLEX_Legislation
Interim Provisions on Establishing Annual Forest Harvesting Quotas.,1985.0,China,"These Interim Provisions, consisting of 9 Articles, are enacted in accordance with the Article 25 of the Forest Law of the People's Republic of China, aiming to control the consumption of forest resources.",https://www.ecolex.org/details/legislation/interim-provisions-on-establishing-annual-forest-harvesting-quotas-lex-faoc196777/?type=legislation&xsubjects=Mineral+resources&page=3669,Forestry, Regulation,"Forest management/forest conservation,Allocation/quota,Timber,Timber extraction/logging","Asia, ASIA AND THE PACIFIC, East Asian Seas, Eastern Asia, North Pacific, North-West Pacific",,ECOLEX_Legislation
Government Regulation No. 28 re Forest Protection.,1985.0,Indonesia,"The text of this Regulation is divided into 9 Chapters: General provisions (I); Protection of forest areas, reserved forests and other forests (II); Protection of forest soils (III); Protection of forests from damage (IV); Protection of forest products (V); Implementation of forest protection (VI); Offences and penalties (VII); Transitional provisions (VIII); Final provisions (IX).",https://www.ecolex.org/details/legislation/government-regulation-no-28-re-forest-protection-lex-faoc004052/?type=legislation&xsubjects=Mineral+resources&page=3669,Forestry, Regulation,"Forest management/forest conservation,Protected area,Classification/declassification,Protection forest,Soil conservation/soil improvement,Forest fires,Offences/penalties","Asia, ASIA AND THE PACIFIC, East Asian Seas, Indian Ocean, South-Eastern Asia",,ECOLEX_Legislation
"Decree No. 6.274 regulating the environmental protection area of Santa Rita, and creating the ecological reserve of Saco da Pedra within the State of Alagoas.",1985.0,Brazil,"This Decree, consisting of 7 Chapters, regulates the environmental protection area of Santa Rita, and creating the ecological reserve of Saco da Pedra within the State of Alagoas. This protection area aims at preserving and protecting the natural characteristics and manage the occupation and use of the related land, in order to: guarantee the natural conditions of reproduction for native flora and fauna; avoid change in reefs, estuaries, lakes and other water streams; protect the local population and environment from the negative impact of industrialization and urbanization; allow the harmonic development of fisheries, agricultural and artisanal activities, performed by local population; protect natural flora and fauna; avoid the degradation of aquatic environment, in view of guaranteeing the maintenance of water quality patterns, etc.",https://www.ecolex.org/details/legislation/decree-no-6274-regulating-the-environmental-protection-area-of-santa-rita-and-creating-the-ecological-reserve-of-saco-da-pedra-within-the-state-of-alagoas-lex-faoc124948/?type=legislation&xsubjects=Mineral+resources&page=3669,"Environment gen., Water, Wild species & ecosystems", Regulation,"Coastal zone management,Environmental standards,Pollution control,Protected area,Zoning,Freshwater quality/freshwater pollution,Ecosystem preservation,Management/conservation,Protection of habitats","Amazonia, Americas, Latin America and the Caribbean, LATIN AMERICA AND THE CARIBBEAN FAO, North Atlantic, South America, South Atlantic",This Decree enters into force on the day of its publication.,ECOLEX_Legislation
"Minerals Act, No. 3213.",1985.0,Turkey,"The objective of this Act is to define the principles and methods of exploring and processing minerals, and to regulate the proprietary rights. Energy minerals, metal minerals, industrial minerals, precious minerals, and liquid and gas containing above minerals are listed in the act. Proprietary rights for minerals are defined in the details. Turkish citizens and companies are eligible to explore for and process minerals. Five percent of annual gross income acquired from mineral processing activities is to be paid as the government share and 5% as a contribution to the Mining Fund. Minerals are explored under an exploration license, valid for 30 months. This license cannot be renewed. This exploration period is followed by a preliminary operational license, which is valid for 3 years and also cannot be renewed. A final operational license is granted to mines having adequate reserves. This license is valid for a minimum of 10 years and is renewable and transferable. A Mining Fund is established at the Ministry of Energy and Natural Resources to finance exploration, technological research and development, project development, and other related activities.",https://www.ecolex.org/details/legislation/minerals-act-no-3213-lex-faoc050790/?type=legislation&xsubjects=Mineral+resources&page=3669,Mineral resources, Legislation,"Basic legislation,Minerals,Special fund,Concession,Exploration,Authorization/permit","Asia, Black Sea, EUROPE AND CENTRAL ASIA, Mediterranean, Middle East, Western Asia",This Law enters into force after the publication in the Official Journal.,ECOLEX_Legislation
Commonwealth Development Authority Act of 1984  (P.L. 4-49).,1985.0,Northern Mariana Is. (USA),"This Act provides for the establishment of the Commonwealth Development Authority, defines its functions and powers and internal organization.",https://www.ecolex.org/details/legislation/commonwealth-development-authority-act-of-1984-pl-4-49-lex-faoc071421/?type=legislation&xsubjects=Mineral+resources&page=3669,Agricultural & rural development, Legislation,"Agricultural development,Institution","Micronesia, Oceania, South Pacific",,ECOLEX_Legislation
Constitución Política de la República de Guatemala.,1985.0,Guatemala,,https://www.ecolex.org/details/legislation/constitucion-politica-de-la-republica-de-guatemala-lex-faoc126743/?type=legislation&xsubjects=Mineral+resources&page=3670,"Agricultural & rural development, Livestock, Environment gen., Food & nutrition, Forestry, Land & soil, Mineral resources, Sea, Water, Wild species & ecosystems", Constitution,"Unitary state,Supremacy of international law,Sustainable development,Sustainable use,Protection of environment,Indigenous peoples,Traditional rights/customary rights,Land tenure,Local government,Agricultural development,Public health,Human rights,Ecosystem preservation,Maritime zone,Mining,Protected area,Right to food,Food security,Forestry protection measures,Afforestation/reforestation,Forest management/forest conservation,Agricultural land,Private land,Property rights,Public land,Animal production,Minerals,Exploration,Territorial sea,EEZ-Exclusive Economic Zone,Freshwater resources management,Inland waters,Management/conservation,National parks,Protection of species,Wild fauna,Wild flora,Community management","Americas, Central America, East Pacific, Latin America and the Caribbean, LATIN AMERICA AND THE CARIBBEAN FAO, North-East Pacific",,ECOLEX_Legislation
