Policy,Year,Country,Policy_Content,URL,Subject,Document_Type,Keyword,Geographical_area,Entry into force notes,Source
Decree No. 12.528 creating the Legal Reserve System (SISREL) within the State of Mato Grosso do Sul.,2008.0,Brazil,"This Decree, composed of six Titles divided in 51 articles, creates the Legal Reserve System (SISREL) within the State of Mato Grosso do Sul, according to art. 44 of Federal Law No. 11.428. SISREL aims at the following: guaranteeing at least 20% of the territory of the State covered by legal reserve native vegetations. occupation, use and development of economic activities in rural area must be regulated according to the conservation of the natural ecosystem characteristics of the State; preservation and conservation of the genetic resources of the native biota must be regulated in order to protect the local biodiversity.",https://www.ecolex.org/details/legislation/decree-no-12528-creating-the-legal-reserve-system-sisrel-within-the-state-of-mato-grosso-do-sul-lex-faoc116123/?type=legislation&xsubjects=Mineral+resources&page=2083,Forestry, Regulation,"Public forest,Agricultural development,Community management","Amazonia, Americas, Latin America and the Caribbean, LATIN AMERICA AND THE CARIBBEAN FAO, North Atlantic, South America, South Atlantic",This Decree enters into force on the day of its pubilcation.,ECOLEX_Legislation
Décret n°8-177 P-P-RM du 27 mars 2008 fixant les modalités d'application de la loi relative au contrôle de qualité des engrais.,2008.0,Mali,Le présent décret fixe les modalités d'application de la Loi No 08-008 du 28 février 2008 relative au contrôle de qualité des engrais.,https://www.ecolex.org/details/legislation/decret-n8-177-p-p-rm-du-27-mars-2008-fixant-les-modalites-dapplication-de-la-loi-relative-au-controle-de-qualite-des-engrais-lex-faoc141979/?type=legislation&xsubjects=Mineral+resources&page=2083,"Agricultural & rural development, Land & soil, Cultivated plants, Waste & hazardous substances", Regulation,"Certification,Farming,Institution,Registration,Fertilizers/nutrients,Offences/penalties,International trade,Transport/storage,Monitoring,Hazardous substances","Africa, AFRICA FAO, Least Developed Countries, Sahel, Western Africa",,ECOLEX_Legislation
"Decreto Nº 34.522/MINAE - Reglamento para la elaboración, revisión y oficialización de las Guías ambientales de buenas prácticas productivas y desempeño ecoeficiente.",2008.0,Costa Rica,"El presente Decreto aprueba el Reglamento para la elaboración, revisión y oficialización de las Guías Ambientales de buenas prácticas productivas y desempeño ecoeficiente, cuyo propósito fundamental es servir como instrumento de educación y orientación de buenas prácticas ambientales para la planificación, diseño, construcción y operación de un proyecto, obra o actividad perteneciente a un sector productivo dado, de forma tal que le sirva de herramienta técnica para su gestión ambiental a fin de lograr diseños que sean armónicos con el medio ambiente.",https://www.ecolex.org/details/legislation/decreto-no-34522minae-reglamento-para-la-elaboracion-revision-y-oficializacion-de-las-guias-ambientales-de-buenas-practicas-productivas-y-desempeno-ecoeficiente-lex-faoc081959/?type=legislation&xsubjects=Mineral+resources&page=2083,Environment gen., Regulation,"Ecosystem preservation,Environmental audit,Environmental planning,Environmental standards,EIA,Legal proceedings/administrative proceedings,Pollution control,Education","Americas, Central America, East Pacific, Latin America and the Caribbean, LATIN AMERICA AND THE CARIBBEAN FAO, North-East Pacific",,ECOLEX_Legislation
"Acuerdo Nº 41 - Modifica el Decreto Nº 3.516, Autoridad Ambiental (Libro I del Texto Unificado de la Legislación Secundaria del Ministerio del Ambiente).",2008.0,Ecuador,"El presente Acuerdo modifica el Texto Unificado de Legislación Ambiental Secundaria relativo al Libro I: Autoridad Ambiental, respecto a la misión institucional del Ministerio del Ambiente que incluirá además la de ejercer en forma eficaz y eficiente el rol de autoridad ambiental nacional, rectora de la gestión ambiental, garantizando un ambiente sano y ecológicamente equilibrado.",https://www.ecolex.org/details/legislation/acuerdo-no-41-modifica-el-decreto-no-3516-autoridad-ambiental-libro-i-del-texto-unificado-de-la-legislacion-secundaria-del-ministerio-del-ambiente-lex-faoc083057/?type=legislation&xsubjects=Mineral+resources&page=2083,Environment gen., Regulation,"Ecosystem preservation,Environmental standards,Environmental audit,Legal proceedings/administrative proceedings,Polluter pays principle,Liability/compensation,Institution","Amazonia, Americas, East Pacific, Latin America and the Caribbean, LATIN AMERICA AND THE CARIBBEAN FAO, South America, South-Eastern Pacific",,ECOLEX_Legislation
Forestry Challenge Funds (Scotland) Regulations 2008 (S.S.I. No. 135 of 2008).,2008.0,United Kingdom,"These Regulations provide for funding being made available by the Forestry Commissioners from the Scotland Rural Development Programme for purposes related to forestry. The Regulations set out the purposes of projects for which assistance may be made available, regulate the procedures of application for and granting of funds, and provide power to the Forestry Commissioners to issue guidance on such matters.",https://www.ecolex.org/details/legislation/forestry-challenge-funds-scotland-regulations-2008-ssi-no-135-of-2008-lex-faoc085239/?type=legislation&xsubjects=Mineral+resources&page=2083,Forestry, Regulation,"Agricultural development,Special fund,Subsidy/incentive","Atlantic Ocean Islands, Europe, EUROPE AND CENTRAL ASIA, European Union Countries, North Atlantic, North Sea, North-East Atlantic, Northern Europe",,ECOLEX_Legislation
"Ley Nº 647 - Modifica la Ley Nº 217, Ley General del medio ambiente y los recursos naturales.",2008.0,Nicaragua,"La presente Ley Modifica la Ley General del medio ambiente y los recursos naturales, en aspectos relacionados con el sistema de evaluación ambiental, el pago por servicios ambientales, la auditoría ambiental, la gestión del cambio climático y el manejo de sustancias químicas contaminantes.",https://www.ecolex.org/details/legislation/ley-no-647-modifica-la-ley-no-217-ley-general-del-medio-ambiente-y-los-recursos-naturales-lex-faoc086097/?type=legislation&xsubjects=Mineral+resources&page=2083,"Environment gen., Water, Wild species & ecosystems", Legislation,"Ecosystem preservation,Environmental planning,Institution,Protected area,EIA,Research,Data collection/reporting,Access-to-information,Subsidy/incentive,Special fund,Pollution control,Soil conservation/soil improvement,Soil pollution/quality,Offences/penalties,Erosion,Environmental standards,Biosphere reserves,Environmental audit,Liability/compensation,Land-use planning,Education,Precautionary principle,Climate change,Hazardous substances,Polluter pays principle,Royalties/fees,Freshwater quality/freshwater pollution,Inland waters","Americas, Central America, East Pacific, Latin America and the Caribbean, LATIN AMERICA AND THE CARIBBEAN FAO, North-East Pacific",,ECOLEX_Legislation
Regulation amending the Regulation on conditions of agri-environmental measures.,2008.0,Czech Republic,"This Regulation of the Government amends 49 points of the Regulation on conditions of agri-environmental measures. In particular, the Regulation amends the procedure of applying for subsidies within the agri-environmental measures, and establishes conditions of the protection of waters against pollution by nitrates from agricultural sources (Annex 3 of amended Regulation), and limits of nitrogen fertilization for the cultivation of vegetables within the integrated production (Annex 11).",https://www.ecolex.org/details/legislation/regulation-amending-the-regulation-on-conditions-of-agri-environmental-measures-lex-faoc094471/?type=legislation&xsubjects=Mineral+resources&page=2083,Agricultural & rural development, Regulation,"Agricultural development,Less favoured areas,Financial agricultural measures,Subsidy/incentive,Special fund,Policy/planning,Capacity building","Eastern Europe, Europe, EUROPE AND CENTRAL ASIA, European Union Countries",This Regulation enters into force on 15 April 2008.,ECOLEX_Legislation
Ministerial Decree No. 462 implementing Presidential Decree No. 667 regarding expropriation and allotment of land plots.,2008.0,Belarus,"This Decree validates some regulations related to land tenure and land management. Regulation on the procedure for organization and holding of auction sale of land plots in private ownership establishes the procedure for organization and holding of auction sale of land plots in private ownership to the Belarusian nationals for housing construction (except for cases when land plots are in use, lifelong inheritable possession of citizens or on lease basis , but with dwelling houses located on them belonging to citizens on the right of ownership), as well as non-governmental legal entities of the Republic of Belarus in cases envisaged by legislative acts. Regulation on the procedure for organization and holding of auction sale of the right to conclude lease contracts for land plots establishes the modalities of organization and holding of auction sale of the right to conclude lease contracts for land plots and the modalities of transfer of land plots on lease by the outcome of auction. Regulation on the procedure for quantification of losses caused land tenants by expropriation of land plots and demolition of immovable property located thereon establishes the modalities of quantification of losses caused to natural persons, individual entrepreneurs and legal entities by expropriation of land plots and demolition of immovable property located thereon. Regulation on the procedure for the purchase of land plots in private ownership for state needs establishes the modalities for the purchase of land plots in case of expropriation thereof for state needs. Regulation on the procedure for organization and holding of auction for sale of state property and for the right of conclusion of lease contract for land plot establishes the modalities for auction sale of the right to conclude lease contract for a plot of land for servicing immovable property (edifices, buildings, constructions, and facilities) located thereon. Regulation on the procedure for compensation of losses of agricultural production sets forth the procedure for quantification of agricultural losses and the modalities for financial compensation thereof. Regulation on the procedure for compensation of losses of forest production sets forth the procedure for quantification of forestry losses and the modalities for financial compensation thereof.",https://www.ecolex.org/details/legislation/ministerial-decree-no-462-implementing-presidential-decree-no-667-regarding-expropriation-and-allotment-of-land-plots-lex-faoc094309/?type=legislation&xsubjects=Mineral+resources&page=2083,"Agricultural & rural development, Forestry, Land & soil", Regulation,"Financial agricultural measures,Expropriation,Liability/compensation,Forest management/forest conservation,Ownership,Lease,Transfer,Cadastre/land registration","CIS (Commonwealth of Independent States), Eastern Europe, Europe, EUROPE AND CENTRAL ASIA",,ECOLEX_Legislation
"Undersea Coal Mines Regulation Act (S.N.S. 2007, c. 14).",2008.0,Canada,"The present Act lays down provisions relating to the regulation of undersea coal mines in the Province. Section 2 of the above-mentioned Act establishes that with the approval of the Governor in Council, a member of the Executive Council may enter into an agreement with the Government of Canada or any of its agencies, boards or commissions respecting, amongst others, the exploration, development, operation and abandonment of a coal mine wholly or partly located below the low-water mark in an area of the Province covered by seawater. The text consists of 8 sections.",https://www.ecolex.org/details/legislation/undersea-coal-mines-regulation-act-sns-2007-c-14-lex-faoc096677/?type=legislation&xsubjects=Mineral+resources&page=2083,Mineral resources, Regulation,"Mining,Exploration,Contract/agreement,Coal,Institution","Americas, Arctic, ASIA AND THE PACIFIC, East Pacific, North America, North Atlantic",,ECOLEX_Legislation
Regulation establishing the list of pollutants and data required for reporting to the Integrated Pollution Register.,2008.0,Czech Republic,"This Government Regulation, which is composed of three articles and three Annexes, establishes the list of pollutants and threshold values and data required for reporting to the Integrated Pollution Register. Pollutants and threshold values for reporting releases are listed in Annex 1 to this Regulation. Pollutants and threshold values for reporting transfers of pollutants in waste that arise directly or in direct connection with the activities of facility operations are specified in Annex 2.",https://www.ecolex.org/details/legislation/regulation-establishing-the-list-of-pollutants-and-data-required-for-reporting-to-the-integrated-pollution-register-lex-faoc126437/?type=legislation&xsubjects=Mineral+resources&page=2083,Environment gen., Regulation,"Pollution control,Data collection/reporting,Classification/declassification","Eastern Europe, Europe, EUROPE AND CENTRAL ASIA, European Union Countries",This Regulation enters into force on 29 April 2008.,ECOLEX_Legislation
