Policy,Year,Country,Policy_Content,URL,Subject,Document_Type,Keyword,Geographical_area,Entry into force notes,Source
"Disaster Management Rules and Regulation, 2014.",2014.0,Bhutan,"This Disaster Management Rules and Regulation, 2014 is formulated in accordance with the Disaster Management Act of Bhutan, 2013. The National Disaster Management Authority is the highest decision making body on disaster management in Bhutan. A Dzongkhag Disaster Management Committee established in each Dzongkhag shall coordinate and manage disaster management operations in the Dzongkhag. The Authority shall direct the constitution of an Inter-Ministerial Task Force and  direct a relevant agency to establish an Early Warning System for potential hazards. The Department of Disaster Management shall establish the National Emergency Operation Centre and Dzongkhag Emergency Operation Centre in each Dzongkhag. The Contingency Plan at the National and Dzongkhag level shall be prepared in accordance with the Contingency Planning Guidelines.",https://www.ecolex.org/details/legislation/disaster-management-rules-and-regulation-2014-lex-faoc162889/?type=legislation&xsubjects=Mineral+resources&page=1091,Environment gen., Regulation,"Disasters,Institution,Offences/penalties,Policy/planning,Early warning system/emergency intervention system","Asia, ASIA AND THE PACIFIC, Landlocked Developing Countries, Least Developed Countries, Southern Asia",,ECOLEX_Legislation
Federal Bosnian Forestry Programme (2014).,2014.0,Bosnia and Herzegovina,"This Federal Bosnian Forestry Programme dated 2014, here offers the complete set of measures aimed at controlling, monitoring, protecting and managing the forest land and forests present on the Federal territory of Bosnia and Herzegovina.",https://www.ecolex.org/details/legislation/federal-bosnian-forestry-programme-2014-lex-faoc165094/?type=legislation&xsubjects=Mineral+resources&page=1091,Forestry, ,"Forest management/forest conservation,Policy/planning,Sustainable development,Sustainable use,Financing,Processing/handling,Timber,Non-timber products,Ecosystem preservation,Integrated management,Climate change,Education,Forest fires","Europe, EUROPE AND CENTRAL ASIA, Mediterranean, Southern Europe",,ECOLEX_Legislation
Updated National Strategy for the Protection of Biodiversity to 2020.,2014.0,Slovakia,"Updated National Strategy for the Protection of Biodiversity to 2020 is a national sectoral strategy of the Slovak Republic for the period 1997-2020. Its main objective is to halt the loss of biodiversity and the degradation of ecosystems and their services in the Slovak Republic by 2020, ensure the restoration of biodiversity and ecosystems in an appropriate extent and increase our contribution to averting the loss of biodiversity at the global level.",https://www.ecolex.org/details/legislation/updated-national-strategy-for-the-protection-of-biodiversity-to-2020-lex-faoc163413/?type=legislation&xsubjects=Mineral+resources&page=1091,"Agricultural & rural development, Environment gen., Water, Wild species & ecosystems", ,"Agricultural development,Sustainable development,Disasters,Climate change,Institution,Enforcement/compliance,Monitoring,Legal proceedings/administrative proceedings,Biodiversity,Ecosystem preservation","Eastern Europe, Europe, EUROPE AND CENTRAL ASIA, European Union Countries",1997-2020,ECOLEX_Legislation
Zambia’s Second National Biodiversity Strategy and Action Plan (NBSAP - 2).,2014.0,Zambia,"Zambia’s Second National Biodiversity Strategy and Action Plan (NBSAP -2) is a national cross-sectoral strategic document of Zambia for the period 2015-2025. Its main goal is to achieve that, by 2025, biodiversity is valued, conserved, restored and wisely used, as well as maintaining ecosystem services, sustaining a healthy environment and delivering benefits essential for all Zambians and the Zambian economy.",https://www.ecolex.org/details/legislation/zambias-second-national-biodiversity-strategy-and-action-plan-nbsap-2-lex-faoc163433/?type=legislation&xsubjects=Mineral+resources&page=1091,"Agricultural & rural development, Wild species & ecosystems", ,"Food security,Sustainable development,Equity,Disasters,Climate change,Institution,Enforcement/compliance,Monitoring,Legal proceedings/administrative proceedings,Public participation,Biodiversity,Cultural heritage,Access and benefit-sharing,Ecosystem preservation","Africa, AFRICA FAO, Eastern Africa, Landlocked Developing Countries, Least Developed Countries",2015-2025,ECOLEX_Legislation
Liberia National Trade Policy.,2014.0,Liberia,"The Liberia National Trade Policy (Policy) provides a clear codification of country’s strategy over a five-year period to transform its trade sector and represents a clear direction of trade policy. The Policy is a sectoral policy with national coverage to be implemented during the 2014-2019 period. The overall objective of the Policy is to promote international trade a competitive domestic private sector by supporting the agricultural, industrial and services sectors to trade at the local and international levels, thereby contributing to employment generation, improvement of the livelihood of the livelihood people, and reduction in poverty.",https://www.ecolex.org/details/legislation/liberia-national-trade-policy-lex-faoc163656/?type=legislation&xsubjects=Mineral+resources&page=1091,Agricultural & rural development, ,"Business/industry/corporations,Intellectual property rights/patents,Internal trade,International trade,Equity,Social protection,Poverty","Africa, AFRICA FAO, Least Developed Countries, North Atlantic, Western Africa",2014 – 2019,ECOLEX_Legislation
National Biodiversity Action Plan (NBAP) – Addendum 2014 to NBAP 2008.,2014.0,India,"The National Biodiversity Action Plan (NBAP) – Addendum 2014 to NBAP 2008 (Addendum Plan) is a national cross-sectoral plan that entered into force in 2014 which updated the 2008 NBAP. The Addendum Plan is India’s response to its international commitments under the Convention of Biological Diversity (CBD). In particular, the Addendum Plan incorporates the National Biodiversity Targets (NBTs) for India with clear indicators and timelines for their realization, and highlights the synergies between the between NBAP 2008, the NBTs, the Programme of Work on Protected Areas (PoWPA), and Global Strategy for Plant Conservation (GSPC).",https://www.ecolex.org/details/legislation/national-biodiversity-action-plan-nbap-addendum-2014-to-nbap-2008-lex-faoc163090/?type=legislation&xsubjects=Mineral+resources&page=1091,"Environment gen., Cultivated plants, Wild species & ecosystems", ,"Biodiversity,Climate change,Disasters,Erosion,Governance,Poverty,Protected area,Traditional knowledge/indigenous knowledge,Wetlands,PIC-prior informed consent,Indigenous peoples,Alien species,Genetic resources","Asia, ASIA AND THE PACIFIC, Indian Ocean, South Asian Seas, Southern Asia",2014,ECOLEX_Legislation
"Subdivision Regulations, 2014 (R.R.S. c. P-13.2 Reg. 2).",2014.0,Canada,"The present Regulations are made under the Planning and Development Act 2007, the Land Titles Act, 2000 and the Land Surveys Act, 2000. In particular, the Regulations accomplish three major objectives: 1) Performance of regulatory review and update to ensure that the Regulations align with the Planning and Development Act, 2007 and the Statements of Provincial Interest Regulations; 2) Adoption of a new fee schedule, phased in over three years, that will approach cost-recovery for reviewing subdivision applications; 3) Efficiency improvements that will improve the timely review of subdivisions. Furthermore, the Regulations require new development to locate 125 meters from  existing oil or gas wells and facilities in order to ensure  public safety is protected. This distance may be increased or decreased by the approving authority as  required after consultation occurs with the Ministry of the Economy. The text consists of 22 sections and 1 Appendix.",https://www.ecolex.org/details/legislation/subdivision-regulations-2014-rrs-c-p-132-reg-2-lex-faoc164533/?type=legislation&xsubjects=Mineral+resources&page=1091,Land & soil, Regulation,"Land tenure,Subdivision of land,Survey/mapping,Land-use planning,Pollution control,Public land,Land valuation,Enforcement/compliance","Americas, Arctic, ASIA AND THE PACIFIC, East Pacific, North America, North Atlantic",The present Regulations have entered into force on 18 July 2014.,ECOLEX_Legislation
Climate Programme for Finnish Agriculture – Steps towards Climate Friendly Food 2014.,2014.0,Finland,"The Climate Programme for Finnish Agriculture prepared by the Ministry of Agriculture and Forestry aims to further enhance the sustainability of the Finnish food system, which is founded on profitable food production and responsible consumption. By improving sustainability in a comprehensive way it is also possible to increase the profitability of production. The objective is to improve energy and material efficiency and reduce emissions per litre or kilo of production. The array of technology solutions we already have available should be taken into full use, while encouraging research and businesses to develop further innovations. In the future the consumers should be steered towards even more responsible consumption. Through all this we can ensure that Finnish food derived from sustainable production is well placed on the market. In the case of organic soil the emissions from land use can be influenced by reducing the clearing of peaty lands and decomposition of peat in cultivated arable areas through long-term grass cultivation and in mineral soil by increasing the soil carbon stocks or slowing down the decrease in the current stock.",https://www.ecolex.org/details/legislation/climate-programme-for-finnish-agriculture-steps-towards-climate-friendly-food-2014-lex-faoc165298/?type=legislation&xsubjects=Mineral+resources&page=1092,"Livestock, Energy, Environment gen., Food & nutrition, Cultivated plants", ,"Energy conservation/energy production,Environmental planning,Renewable energy,Risk assessment/management,Climate change,Coal,Disasters,Early warning system/emergency intervention system,Flood,Erosion,Sustainable development,Monitoring,Capacity building,Emissions,Water quality standards,Food security,Poverty,Ecofriendly products/ecofriendly processes,Ecological production/organic production,Food waste,Animal health,Animal reproduction,Authorization/permit,Enforcement/compliance,Sustainable use,Agricultural development,Plant production,Plant protection,Planting material/seeds,Policy/planning,Fertilizers/nutrients,Alien species","Arctic, Europe, EUROPE AND CENTRAL ASIA, European Union Countries, North-East Atlantic, Northern Europe",,ECOLEX_Legislation
Política Nacional de Desarrollo. K’atun Nuestra Guatemala 2032.,2014.0,Guatemala,"La Política Nacional de Desarrollo es el instrumento estratégico de largo plazo, vigente hasta el 2032, que le da respaldo político institucional a la operatividad del K’atun introducido mediante el Plan Nacional de Desarrollo K’atun: nuestra Guatemala 2032, adoptado en 2014. Esta política tiene por finalidad institucionalizar las acciones y procesos para el desarrollo, con una visión de largo plazo y permitirá dar seguimiento, así como evaluar las acciones de política y los impactos. El documento consta de tres Partes. La Parte 1 define el marco conceptual y normativo. La Parte 2 define el objetivo de la Política Nacional de Desarrollo y sus directrices generales. La Parte 3 se desarrolla en torno a los siguientes ejes: 1) Guatemala urbana y rural; 2) Bienestar para la gente; 3) Riqueza para todos y todas; 4) Recursos naturales hoy y para el futuro; 5) Estado como garante de los derechos humanos y conductor del desarrollo. El objetivo general de esta política es establecer las directrices estratégicas para las instituciones del Estado, públicas, privadas y de la cooperación internacional para orientar sus acciones, de manera que se pueda organizar, coordinar y articular la acción pública en función de los intereses y prioridades del desarrollo nacional de largo plazo; y a la sociedad organizada para su participación activa en el control y seguimiento de las acciones de desarrollo nacional implementadas por el Estado.",https://www.ecolex.org/details/legislation/politica-nacional-de-desarrollo-katun-nuestra-guatemala-2032-lex-faoc165818/?type=legislation&xsubjects=Mineral+resources&page=1092,"Agricultural & rural development, Environment gen., Food & nutrition, Land & soil, Water, Wild species & ecosystems", ,"Agricultural development,Biodiversity,Sustainable development,Sustainable use,Indigenous peoples,Gender,Community management,Climate change,Disasters,Public participation,Human rights,Food security,Nutrition,Public health,Poverty,Land tenure,Agricultural land,Wetlands,Freshwater resources management,Ecosystem preservation","Americas, Central America, East Pacific, Latin America and the Caribbean, LATIN AMERICA AND THE CARIBBEAN FAO, North-East Pacific",,ECOLEX_Legislation
Plan d’intégration de la biodiversité dans le secteur de l’agriculture et de l’élevage.,2014.0,Burundi,"Le présent Plan Sectoriel d’Intégration de la Biodiversité est bâti autour des points principaux suivants: i) Agrobiodiversité au Burundi; ii) Implication du secteur agricole dans la gestion de la biodiversité; iii) Dégradation de la biodiversité liée au secteur agricole et d’élevage; iv) Contraintes à la conservation de la biodiversité; v) Plan stratégique d’intégration de la biodiversité au Minagrie. Le Burundi, à travers sa stratégie Nationale et Plan d’Action sur la Biodiversité, s’est fixé, une vision nationale qui s’énonce comme suit: ‘‘D’ici à 2030, la diversité biologique est restaurée, conservée et utilisée rationnellement par tous les acteurs, en assurant le maintien des services écosystémiques et en garantissant des avantages essentiels aux générations présentes et futures’’.",https://www.ecolex.org/details/legislation/plan-dintegration-de-la-biodiversite-dans-le-secteur-de-lagriculture-et-de-lelevage-lex-faoc170200/?type=legislation&xsubjects=Mineral+resources&page=1092,"Agricultural & rural development, Livestock, Wild species & ecosystems", ,"Genetic resources,Agricultural development,Local government,Governance,Animal production,Biodiversity,Ecosystem preservation,Tourism","Africa, AFRICA FAO, Eastern Africa, Landlocked Developing Countries, Least Developed Countries",,ECOLEX_Legislation
