Policy,Year,Country,Policy_Content,URL,Subject,Document_Type,Keyword,Geographical_area,Entry into force notes,Source
"Prevention of Pollution of the Sea (Noxious Liquid Substances in Bulk) Regulations, 2006.",2006.0,Singapore,These Regulations establish provisions for the prevention of pollution of the sea in particular the discharge of noxious liquid substances carried in bulk in Singapore waters.,https://www.ecolex.org/details/legislation/prevention-of-pollution-of-the-sea-noxious-liquid-substances-in-bulk-regulations-2006-lex-faoc109839/?type=legislation&xsubjects=Mineral+resources&page=2281,"Sea, Environment gen.", Regulation,"Marine pollution,Pollution control,Effluent waste water/discharge","Asia, ASIA AND THE PACIFIC, East Asian Seas, Small Island Developing States, South-Eastern Asia",These Regulations enter into force on 1 January 2007.,ECOLEX_Legislation
"Decree laying down the national plan on inspection on establishments or undertakings which carry out waste treatment operations, pursuant to article 34 of Directive 2008/98/EC of the European Parliament and of the Council on waste.",2006.0,Italy,"This Decree approves the national plan adopted pursuant to article 34 of Directive 2008/98/EC on waste. The plan regulates the inspections to ba carried out on a periodic basis on establishments or undertakings which carry out waste treatment operations, establishments or undertakings which collect or transport waste on a professional basis, brokers and dealers, and establishments or undertakings which produce hazardous waste.",https://www.ecolex.org/details/legislation/decree-laying-down-the-national-plan-on-inspection-on-establishments-or-undertakings-which-carry-out-waste-treatment-operations-pursuant-to-article-34-of-directive-200898ec-of-the-european-parliament-and-of-the-council-on-waste-lex-faoc163375/?type=legislation&xsubjects=Mineral+resources&page=2281,"Environment gen., Waste & hazardous substances", Regulation,"Waste management,Waste disposal,Hazardous waste,Business/industry/corporations,Inspection","Alps, Europe, EUROPE AND CENTRAL ASIA, European Union Countries, Mediterranean, Southern Europe",,ECOLEX_Legislation
Decree No. 5.010 regulating Law No. 13.553 on the State Coastal Management Plan (PEGC).,2006.0,Brazil,"This Decree, consisting of 34 articles divided into 14 Chapters, regulates the State Coastal Management Plan (PEGC). The objectives of PEGC are: Compatibility between socio-economic activities and urban expansion with the specific characteristics of the coastal zone, ensuring environmental quality and sustainable development, as well as protection of natural, historical, ethnic, cultural and landscape heritage; organize human activities with regard to the use, occupation of land and sea, and exploitation of the renewable and non-renewable natural resources of the Coastal Zone (with the aim of: a) sustainably use of coastal zone natural resources; b) prevent the degradation of the coastal ecosystems; c) adapt the productive processes of the economic activities considering the ecosystems of the Coastal Zone; d) mediate socio-economic and environmental conflicts; e) ensure good quality of surface and groundwater for its use according to satisfactory quality and quantity standards); promote ecosystem preservation of the Coastal Zone considering the need of socio-economic development; Establish standards for controlling agents potentially causing environmental degradation; Encourage the development of the traditional populations of the Coastal Zone; Encourage the development, planning and management of Coastal Zone activities in an integrated, decentralized and participatory way; Environmental education programmes aimed at the conservation of coastal ecosystems; Promote and support the creation and maintenance of Conservation Units in the Coastal Zone; Systematize the environmental data for the purposes of monitoring the coastal zone in order to follow the environmental and socio-economic indicators.",https://www.ecolex.org/details/legislation/decree-no-5010-regulating-law-no-13553-on-the-state-coastal-management-plan-pegc-lex-faoc184424/?type=legislation&xsubjects=Mineral+resources&page=2281,"Land & soil, Sea, Water", Regulation,"Coastal zone management,Land-use planning,Offences/penalties,Authorization/permit,Research,Pollution control,Sustainable development,Sustainable use,Management/conservation,Freshwater quality/freshwater pollution,Freshwater resources management","Amazonia, Americas, Latin America and the Caribbean, LATIN AMERICA AND THE CARIBBEAN FAO, North Atlantic, South America, South Atlantic",This Decree enters into force on the date of publication.,ECOLEX_Legislation
"Seychelles Heritage Foundation Act, 2006 (No. 11 of 2006).",2006.0,Seychelles,This Act establishes the Seychelles Heritage Foundation and defines its objectives and provides for its internal organization.,https://www.ecolex.org/details/legislation/seychelles-heritage-foundation-act-2006-no-11-of-2006-lex-faoc071756/?type=legislation&xsubjects=Mineral+resources&page=2281,Environment gen., Regulation,"Cultural heritage,Institution,Protected area","Africa, AFRICA FAO, Eastern Africa, Indian Ocean, Small Island Developing States",,ECOLEX_Legislation
"Decreto Nº 79/06 - Reglamento de la Ley Nº 601, Ley de promoción de la competencia.",2006.0,Nicaragua,La presente Decrerto aprueba el reglamento de la Ley de promoción de la competencia que contiene las disposiciones para su aplicación y para la estructuración del Instituto Nacional de Promoción de la Competencia (PROCOMPETENCIA).,https://www.ecolex.org/details/legislation/decreto-no-7906-reglamento-de-la-ley-no-601-ley-de-promocion-de-la-competencia-lex-faoc085423/?type=legislation&xsubjects=Mineral+resources&page=2281,Agricultural & rural development, Regulation,"Consumer protection,Agricultural commodities,Internal trade,Institution,Legal proceedings/administrative proceedings,Certification","Americas, Central America, East Pacific, Latin America and the Caribbean, LATIN AMERICA AND THE CARIBBEAN FAO, North-East Pacific",,ECOLEX_Legislation
"Planning and Development Regulations, 2006 (S.I.  No. 685 of 2006).",2006.0,Ireland,"These Regulations amend the Planning and Development Regulations 2001 so as to implement provisions of the Planning and Development (Strategic Infrastructure) Act, which amends the Planning and Development Act 2000. Amendments concern, among other things, prescribes authorities for the purposes of various sections of the Act, the application for and granting of planning permissions, assessment of development likely to have a significant effect on the environment, (information on) transboundary environmental effects, major accidents and Strategic Infrastructure Development.",https://www.ecolex.org/details/legislation/planning-and-development-regulations-2006-si-no-685-of-2006-lex-faoc089180/?type=legislation&xsubjects=Mineral+resources&page=2281,Land & soil, Regulation,"Land-use planning,EIA,Transboundary effects,Institution,Disasters,Cultural heritage","Atlantic Ocean Islands, Europe, EUROPE AND CENTRAL ASIA, European Union Countries, North Atlantic, North-East Atlantic, Northern Europe",,ECOLEX_Legislation
Regulation on the Monitoring of Greenhouse Gas Emissions in the Republic of Croatia.,2006.0,Croatia,"This Regulation stipulates the requirements and manner of monitoring of emissions of greenhouse gases in the Republic of Croatia, comprising the calculations and/or reporting on: a) all anthropogenic emissions by sources and removals by sinks of greenhouse gases not controlled by the Montreal Protocol on substances that deplete the ozone layer; b) the implementation and achievements of the policy and measures to reduce emissions and enhance sinks for the purpose of meeting the commitments under the United Nations Framework Convention on Climate Change and accompanying international agreements; c) projections of greenhouse gas emissions.",https://www.ecolex.org/details/legislation/regulation-on-the-monitoring-of-greenhouse-gas-emissions-in-the-republic-of-croatia-lex-faoc105399/?type=legislation&xsubjects=Mineral+resources&page=2281,Air & atmosphere, Regulation,"Air quality/air pollution,Emissions,Monitoring,Ozone layer,Data collection/reporting,Environmental standards,Pollution control","Europe, EUROPE AND CENTRAL ASIA, Mediterranean, Southern Europe",This Regulation enters into force eight days after its publication in the Official Gazette.,ECOLEX_Legislation
Decree amending the Decree promoting the production of electricity from biomass.,2006.0,Czech Republic,This Decree of the Ministry of Environment amends 11 points of the Decree promoting the production of electricity from biomass. The amendments concern groups of biomass which are related to the promotion specified in the Act on the promotion of renewable sources of energy.,https://www.ecolex.org/details/legislation/decree-amending-the-decree-promoting-the-production-of-electricity-from-biomass-lex-faoc074059/?type=legislation&xsubjects=Mineral+resources&page=2281,Energy, Regulation,"Energy conservation/energy production,Environmental standards,Renewable energy,Classification/declassification","Eastern Europe, Europe, EUROPE AND CENTRAL ASIA, European Union Countries",The Decree enters into force on the day of publication in the Collection of Laws.,ECOLEX_Legislation
"Ley Nº 28939 - Ley que aprueba crédito suplementario, transferencia de partidas y creación de diversos fondos.",2006.0,Peru,"La presente Ley, que aprueba crédito suplementario y transferencia de partidas en el presupuesto del sector público para el año fiscal 2006, dispone la creación de diversos fondos y, entre ellos, el Fondo de garantía para el campo.",https://www.ecolex.org/details/legislation/ley-no-28939-ley-que-aprueba-credito-suplementario-transferencia-de-partidas-y-creacion-de-diversos-fondos-lex-faoc076622/?type=legislation&xsubjects=Mineral+resources&page=2281,Agricultural & rural development, Legislation,"Agricultural development,Financial agricultural measures,Agricultural commodities,Institution,Special fund,Less favoured areas","Amazonia, Americas, East Pacific, Latin America and the Caribbean, LATIN AMERICA AND THE CARIBBEAN FAO, South America, South-Eastern Pacific",,ECOLEX_Legislation
Ordinance amending the Ordinance on assessing methods relating to the Emission Protection Act.,2006.0,Austria,"The present Ordinance by the Federal Minister for Agriculture and Forestry, Environment and Water Resources introduces some amendments to the Ordinance on assessing methods relating to the Emission Protection Act (BGBl. II No. 263/2004). In particular, it amends article 4 dealing with methods of measurements, as well as Annex 1 on Methods of assessing nocives substances in the air; and Annex 3 on Monitoring stations. It adds also article 32a on local monitoring stations.",https://www.ecolex.org/details/legislation/ordinance-amending-the-ordinance-on-assessing-methods-relating-to-the-emission-protection-act-lex-faoc068477/?type=legislation&xsubjects=Mineral+resources&page=2281,Air & atmosphere, Regulation,"Air quality/air pollution,Monitoring,Environmental standards,Pollution control","Alps, Europe, EUROPE AND CENTRAL ASIA, European Union Countries, Western Europe",,ECOLEX_Legislation
