Policy,Year,Country,Policy_Content,URL,Subject,Document_Type,Keyword,Geographical_area,Entry into force notes,Source
Land Tax Act (1993),1993.0,Estonia,"This Act provides for land tax. Land tax is a tax based on the taxable value of land. The taxable value of land is determined and the procedure for contestation thereof is established pursuant to the Land Valuation Act. The Tax and Customs Board shall calculate land tax based on the underlying data submitted by a local authority through the land tax information system. The land tax on land not registered in the land cadastre shall be calculated on the basis of the taxable value of land not designated for a specific purpose.  Land tax is imposed on all land, except specified in this Act, and is paid by the owner of land or, in the case specified in this Act, by the user of land.",https://www.ecolex.org/details/legislation/land-tax-act-1993-lex-faoc003101/?type=legislation&xsubjects=Mineral+resources&page=3471,Land & soil, Legislation,"Tax/levy,Land valuation,Procedural matters,Cadastre/land registration,Governance","Europe, EUROPE AND CENTRAL ASIA, European Union Countries, Northern Europe",,ECOLEX_Legislation
Arrêté de l'Exécutif régional wallon fixant le modèle des documents à utiliser en exécution du décret du 13 juin 1991 concernant la liberté d'accès des citoyens à l'information relative à l'environnement.,1993.0,Belgium,L'arrêté de l'Exécutif régional wallon fixe le modèle des documents à utiliser en exécution du décret du 13 juin 1991 concernant la liberté d'accès des citoyens à l'information relative à l'environnement.,https://www.ecolex.org/details/legislation/arrete-de-lexecutif-regional-wallon-fixant-le-modele-des-documents-a-utiliser-en-execution-du-decret-du-13-juin-1991-concernant-la-liberte-dacces-des-citoyens-a-linformation-relative-a-lenvironnement-lex-faoc010743/?type=legislation&xsubjects=Mineral+resources&page=3471,Environment gen., Regulation,Access-to-information,"Benelux, Europe, EUROPE AND CENTRAL ASIA, European Union Countries, North Atlantic, North Sea, North-East Atlantic, Western Europe",,ECOLEX_Legislation
Act on processing data concerning the use of pesticides in agriculture (No. 100 of 2017).,1993.0,Denmark,"This Act sets regulations on the keeping of data for plant protection for products used against pests, weeds and other harmful plants in plant cultures by farm owners and operators. The Ministry of Environment and Food of Denmark may establish necessary rules and the measures applicable to EU regulations on record/data keeping on the use of plant protection products in the agricultural sector.",https://www.ecolex.org/details/legislation/act-on-processing-data-concerning-the-use-of-pesticides-in-agriculture-no-100-of-2017-lex-faoc121533/?type=legislation&xsubjects=Mineral+resources&page=3471,"Agricultural & rural development, Cultivated plants", Legislation,"Data collection/reporting,Agricultural commodities,Farming,Plant protection,Agricultural development,Weeds,Pesticides,Pests/diseases","Europe, EUROPE AND CENTRAL ASIA, European Union Countries, North Sea, North-East Atlantic, Northern Europe",,ECOLEX_Legislation
Act on state guarantees for farming debt rescheduling (No. 268 of 1993).,1993.0,Denmark,"The Act sets rules on the financial subsidy granted to farmers for their agricultural productions. Applications must be submitted to the Kingdom of Denmark Mortgage and Financial Management within 1 January 1994.Subsidy shall be applicable to farming requiring at least 900 hours/year (1); when the total debt is equivalent to a minimum of 70% of total farming assets (2); and when it can be proven that, after taking out a loan, any re-scheduling with index and any creditor scheme shall be financially viable. Maximum loan shall be of 1 200 000 DKK for each application. No loan below 75 000 DKK shall be authorized.",https://www.ecolex.org/details/legislation/act-on-state-guarantees-for-farming-debt-rescheduling-no-268-of-1993-lex-faoc117894/?type=legislation&xsubjects=Mineral+resources&page=3471,Agricultural & rural development, Legislation,"Farming,Agricultural land,Subsidy/incentive","Europe, EUROPE AND CENTRAL ASIA, European Union Countries, North Sea, North-East Atlantic, Northern Europe",The Minister of Agriculture shall decide on the entry into force of this Act.,ECOLEX_Legislation
Décret nº 2-93-82 modifiant et complétant le décret nº 2-83-752 réglementant les encouragements de l'Etat en vue de l'aménagement hydroagricole et des améliorations foncières des propriétés agricoles.,1993.0,Morocco,"Ce décret modifie les articles 2 et 3 du décret qui spécifie quels sont les travaux et les personnes pouvant bénéficier de l'aide technique et financière, sous forme de subvention, en vue de l'aménagement hydroagricole et des améliorations foncières des propriétés agricoles, en ajoutant les opérations suivantes: défrichement, sous-solage, épierrage manuel ou mécanique, défoncement.",https://www.ecolex.org/details/legislation/decret-no-2-93-82-modifiant-et-completant-le-decret-no-2-83-752-reglementant-les-encouragements-de-letat-en-vue-de-lamenagement-hydroagricole-et-des-ameliorations-foncieres-des-proprietes-agricoles-lex-faoc016666/?type=legislation&xsubjects=Mineral+resources&page=3471,Agricultural & rural development, Regulation,"Agricultural development,Subsidy/incentive,Financial agricultural measures","Africa, Mediterranean, NEAR EAST AND NORTH AFRICA, North Atlantic, Northern Africa",,ECOLEX_Legislation
"Ordonnance n° 93-021 du 4 mai 1993 portant organisation des Chambres de Commerce, d’Industrie, d’Artisanat et d’Agriculture.",1993.0,Madagascar,"La présente ordonnance définit le statut juridique, les missions et attributions ainsi que l’organisation et les règles et modalités de fonctionnement des Chambres de Commerce, d’Industrie, d’Artisanat et d’Agriculture.",https://www.ecolex.org/details/legislation/ordonnance-n-93-021-du-4-mai-1993-portant-organisation-des-chambres-de-commerce-dindustrie-dartisanat-et-dagriculture-lex-faoc157180/?type=legislation&xsubjects=Mineral+resources&page=3471,"Agricultural & rural development, Livestock, Food & nutrition, Fisheries, Forestry, Cultivated plants", Legislation,"Institution,Smallholders/peasants,Farming,Agricultural development,Non-governmental entity","Africa, AFRICA FAO, Eastern Africa, Indian Ocean, Least Developed Countries",,ECOLEX_Legislation
Ordinance relating to the Energy Law on state contributions (Energy Law Contributions Ordinance).,1993.0,Switzerland,The present Ordinance enforces the Energy Law of 4 September 1990. Article 1 of the above-mentioned Ordinance establishes that under the present Ordinance there is no legal right to claim benefits. These shall only be granted within the framework of credits approved by the Cantonal Council. The text consists of 4 articles as follows: General provisions (1); Kind of contributions (2); Enforcement (3); Final provisions (4).,https://www.ecolex.org/details/legislation/ordinance-relating-to-the-energy-law-on-state-contributions-energy-law-contributions-ordinance-lex-faoc118473/?type=legislation&xsubjects=Mineral+resources&page=3471,Energy, Regulation,"Energy conservation/energy production,Renewable energy,Subsidy/incentive,Enforcement/compliance","Alps, Europe, EUROPE AND CENTRAL ASIA, North-East Atlantic, Western Europe",The present Ordinance enters into force on 1 July 1993.,ECOLEX_Legislation
Decreto Supremo Nº 016-93-EM ─ Reglamento para la protección ambiental en la actividad minero-metalúrgica.,1993.0,Peru,"El presente Reglamento tiene por objeto establecer las acciones de previsión y control que deben realizarse para armonizar el desarrollo de las actividades minero-metalúrgicas con la protección del medio ambiente de los riesgos resultantes de los agentes nocivos que pudiera generarse, evitando sobrepasen los niveles máximos permisibles.",https://www.ecolex.org/details/legislation/decreto-supremo-no-016-93-em-reglamento-para-la-proteccion-ambiental-en-la-actividad-minero-metalurgica-lex-faoc071132/?type=legislation&xsubjects=Mineral+resources&page=3471,Mineral resources, Regulation,"Pollution control,Environmental standards,Mining,Soil pollution/quality,EIA,Environmental audit,Inspection,Residues,Legal proceedings/administrative proceedings","Amazonia, Americas, East Pacific, Latin America and the Caribbean, LATIN AMERICA AND THE CARIBBEAN FAO, South America, South-Eastern Pacific",,ECOLEX_Legislation
Regulation of the Law on National Committee to Reduce Destructive Impacts of Natural Disasters.,1993.0,"Iran, Islamic Republic of","The Regulation consisting of 14 Articles, is the executive Regulation of the Law on National Committee to Reduce Destructive Impacts of Natural Disasters of  31 July 1991.",https://www.ecolex.org/details/legislation/regulation-of-the-law-on-national-committee-to-reduce-destructive-impacts-of-natural-disasters-lex-faoc164443/?type=legislation&xsubjects=Mineral+resources&page=3471,"Environment gen., Water", Regulation,"Disasters,Early warning system/emergency intervention system,Risk assessment/management,Governance,Education,Research,Flood,Water shortage/drought","Asia, Caspian Sea, Middle East, NEAR EAST AND NORTH AFRICA, Persian Gulf, Southern Asia",,ECOLEX_Legislation
Constitution of Andorra.,1993.0,,,https://www.ecolex.org/details/legislation/constitution-of-andorra-lex-faoc072567/?type=legislation&xsubjects=Mineral+resources&page=3471,"Environment gen., Food & nutrition, Land & soil, Water, Wild species & ecosystems", Constitution,"Codified constitution,Economic/social/cultural rights,Inheritance,Protection of environment,Right to property,Human rights,Environmental planning,Community management,Cultural heritage,Sustainable development,Consumer protection,Land tenure,Ownership,Expropriation,Property rights,Gender,Wild fauna,Wild flora",,,ECOLEX_Legislation
