Policy,Year,Country,Policy_Content,URL,Subject,Document_Type,Keyword,Geographical_area,Entry into force notes,Source
"Resolución Nº 083-2017-JUS ─ Modifica la Resolución Nº 292-2007-JUS, que crea el Programa Nacional de Enseñanza Legal para la Inclusión Social (PRONELIS).",2017.0,Peru,"La presente Resolución modifica la que crea el Programa Nacional de Enseñanza Legal para la Inclusión Social (PRONELIS), con el objeto de propiciar un mayor acercamiento de los conocimientos en derechos humanos y deberes fundamentales a la ciudadanía en general, con énfasis en la población en situación de vulnerabilidad.",https://www.ecolex.org/details/legislation/resolucion-no-083-2017-jus-modifica-la-resolucion-no-292-2007-jus-que-crea-el-programa-nacional-de-ensenanza-legal-para-la-inclusion-social-pronelis-lex-faoc172047/?type=legislation&xsubjects=Mineral+resources&page=496,Agricultural & rural development, Regulation,"Institution,Education,Human rights,Capacity building,Poverty","Amazonia, Americas, East Pacific, Latin America and the Caribbean, LATIN AMERICA AND THE CARIBBEAN FAO, South America, South-Eastern Pacific",,ECOLEX_Legislation
"Agricultural Institute of Zambia Act, 2017 (No. 2 of 2017).",2017.0,Zambia,"This Act establishes the Agricultural Institute of Zambia, the Agricultural Council, the Agricultural Registration Board and the Disciplinary Committee,  defines the functions and powers of these institutions and organs, and provides with respect to registration as agricultural professional. The Act also concerns conduct of registered agricultural professionals.",https://www.ecolex.org/details/legislation/agricultural-institute-of-zambia-act-2017-no-2-of-2017-lex-faoc170970/?type=legislation&xsubjects=Mineral+resources&page=496,Agricultural & rural development, Legislation,"Agricultural development,Institution,Registration,Research,Extension","Africa, AFRICA FAO, Eastern Africa, Landlocked Developing Countries, Least Developed Countries",,ECOLEX_Legislation
Decree No.3 of 2017 on the Executive Regulations on Biodiversity.,2017.0,Kuwait,"This Decree consisting of 28 articles aims at protecting biodiversity in compliance with the Law No.42 of 2014, with particular regard to fishing and hunting (art.100) and Cites Agreement implementation (art.101). The two main Authorities responsible for the issue are the Environment Public Authority and Public Authority for Agriculture Affairs and Fish Resources. The latter deals with (i) issuing fishing permits; (ii) fishing fees; (iii) permitted methods and equipment; (iv) GPS use; (v) seasons and places for fishing; (vi) exemptions for scientific reasons. Article 5 of the Regulation lists places and cases where fishing is prohibited, with the exemptions. Regarding hunt, the Decree regulates, inter alia, (i) types of weapons allowed; (ii) methods; (iii) prohibited species; (iv) issuance of permits; (v) seasons and timing.",https://www.ecolex.org/details/legislation/decree-no3-of-2017-on-the-executive-regulations-on-biodiversity-lex-faoc100215/?type=legislation&xsubjects=Mineral+resources&page=496,"Agricultural & rural development, Livestock, Environment gen., Fisheries, Cultivated plants, Water, Wild species & ecosystems", Regulation,"Biodiversity,International trade,Authorization/permit,Environmental fees/charges,Protected area,Protection of habitats,Marine fisheries,Fishing gear/fishing method,Protection of environment,Protection of species,Seasons,Fishery management and conservation,Grazing,Quarantine,Certification,Plant protection,Sewerage,Endangered species,Hunting authorization/permit,Hunting/capture,Hunting gear/hunting methods,National parks","Middle East, NEAR EAST AND NORTH AFRICA, Persian Gulf, Western Asia",This Regulation enters into force on the date of its publication in the Official Gazette.,ECOLEX_Legislation
Regulation proclaiming the Gorjanović's profile located in Vukovar as a geological monument of nature.,2017.0,Croatia,"This Regulation officially declares the site located on the territory of the Vukovar municipality (Republic of Croatia) and called Gorjanović's platoon profile as a national nature-geological monument (with a geochronological, ecological, scientific and educational value).",https://www.ecolex.org/details/legislation/regulation-proclaiming-the-gorjanovics-profile-located-in-vukovar-as-a-geological-monument-of-nature-lex-faoc168121/?type=legislation&xsubjects=Mineral+resources&page=496,"Environment gen., Wild species & ecosystems", Regulation,"Protected area,Public land,National parks","Europe, EUROPE AND CENTRAL ASIA, Mediterranean, Southern Europe",This Regulation enters into force eight days after its publication in the Official Gazette.,ECOLEX_Legislation
Décret n°2017-0326/P-RM du 11 avril 2017 régissant l’hygiène de l’habitat en République du Mali.,2017.0,Mali,"Le présent décret régit l’ensemble de mesures et pratiques prises par les ménages pour préserver leur santé contre les effets adverses résultant des facteurs physiques, biologiques et chimiques relatives à l’hygiène de l’habitat en République du Mali. Le chapitre II définit les concepts suivants: animal de compagnie; cohabitation; contamination; déchet; déchet domestique; déchets spéciaux; douche; eau potable; eau usée domestique; environnement immédiat; fosse septique; habitat; habitation; Indicateurs d’insalubrité; infection; infestation; inspecteur d’hygiène; inspection d’hygiène et de salubrité; latrines; Matière corrosive; milieu domestique; nuisance; nuisible; occupants; produit chimique dangereux; produit chimique à usage domestique; puisard ou puits perdu; salubrité du milieu; santé; source d’eau potable; toilette; vecteur. La détention d’un certificat de conformité délivré par les services techniques de l’Urbanisme et de l’Habitat est obligatoire pour toute maison à usage d’habitation. Ce texte prévoit aussi la lutte contre la pollution et la gestion durable des déchets solides et liquides tant en milieu rural qu’urbain. Le chapitre V fixe les violations et sanctions  conformément aux dispositions du code pénal. Un arrêté interministériel des ministres chargés de la Santé, de l’Hygiène publique, de l’Assainissement, de l’Agriculture, de l’Elevage, de la Pêche, de l’Habitat et de l’Urbanisme, de l’Energie et de l’Eau fixe, en tant que de besoin, les modalités d’application du présent décret.",https://www.ecolex.org/details/legislation/decret-n2017-0326p-rm-du-11-avril-2017-regissant-lhygiene-de-lhabitat-en-republique-du-mali-lex-faoc165601/?type=legislation&xsubjects=Mineral+resources&page=496,"Environment gen., Food & nutrition, Water, Waste & hazardous substances", Regulation,"Environmental planning,Waste management,Pollution control,Potable water,Food quality control/food safety,Public health,Sewerage,Effluent waste water/discharge,Freshwater quality/freshwater pollution","Africa, AFRICA FAO, Least Developed Countries, Sahel, Western Africa",,ECOLEX_Legislation
Loi n°2017- 001 du 11 avril 2017 portant sur le foncier agricole.,2017.0,Mali,"Le chapitre I prévoit les dispositions générales. Cette loi porte sur le foncier Agricole. De ce fait, elle s’applique à l’ensemble des terres et espaces Agricoles du domaine national à vocation Agricole.",https://www.ecolex.org/details/legislation/loi-n2017-001-du-11-avril-2017-portant-sur-le-foncier-agricole-lex-faoc165599/?type=legislation&xsubjects=Mineral+resources&page=497,"Agricultural & rural development, Land & soil, Water", Legislation,"Land tenure,Agricultural development,Agricultural land,Gender,Basic legislation,Land reform,Cadastre/land registration,Land-use planning,Community management,Public land,Pastoralism,Smallholders/peasants,Land commission,Traditional rights/customary rights,Irrigation","Africa, AFRICA FAO, Least Developed Countries, Sahel, Western Africa",,ECOLEX_Legislation
Ordonnance n°2017-024/P-RM  du 30 mars 2017 portant création de la Direction nationale du Cadastre.,2017.0,Mali,La présente ordonnance crée un Direction nationale du Cadastre dont la mission est de: élaborer les éléments de la politique nationale en matière de cadastre et assurer et d’assurer la coordination et le contrôle de la mise en œuvre de ladite politique.,https://www.ecolex.org/details/legislation/ordonnance-n2017-024p-rm-du-30-mars-2017-portant-creation-de-la-direction-nationale-du-cadastre-lex-faoc165602/?type=legislation&xsubjects=Mineral+resources&page=497,Land & soil, Legislation,"Land-use planning,Institution,Cadastre/land registration","Africa, AFRICA FAO, Least Developed Countries, Sahel, Western Africa",,ECOLEX_Legislation
Marine Works (Environmental Impact Assessment) (Scotland) Regulations 2017 (S.S.I. No. 115 of 2017).,2017.0,United Kingdom,"These Regulations implement Directive 2011/92/EU of the European Parliament and of the Council on the assessment of the effects of certain public and private projects on the environment, as amended by Council Directive 2014/52/EU, in relation to regulatory approvals required before certain projects may be taken forward in Scotland’s marine environment. The Regulations impose procedural requirements in relation to the consideration of applications for such regulatory approvals by the Scottish Ministers. All projects in schedule 1 require an environmental impact assessment (EIA). Projects in Schedule 2 require an EIA if they are likely to have significant effects on the environment (""EIA projects”). The Regulations, among other things: prohibit the grant of a regulatory approval for an EIA project or a multi-stage regulatory approval unless an environmental impact assessment has been carried out and the Scottish Ministers have first taken account of the environmental information (defined) which is before the; set out what the environmental assessment process comprises and the content of an EIA report; set out procedures for determining whether environmental impact assessment is required; set out procedures to be followed where the Scottish Ministers are considering an application for regulatory approval for an EIA project without an EIA report; provide with respect to consultation between EEA States where EIA projects are likely to have significant effects on the environment in another EEA State; define offences. Intensive fish farming may classify as Schedule 2 project.",https://www.ecolex.org/details/legislation/marine-works-environmental-impact-assessment-scotland-regulations-2017-ssi-no-115-of-2017-lex-faoc165824/?type=legislation&xsubjects=Mineral+resources&page=497,"Environment gen., Fisheries, Sea, Wild species & ecosystems", Regulation,"EIA,Marine pollution,International relations/cooperation,Transboundary effects,Cultural heritage,Mariculture,Crustaceans,Authorization/permit,Access-to-information,Ecosystem preservation,Marine area,Protection of habitats","Atlantic Ocean Islands, Europe, EUROPE AND CENTRAL ASIA, European Union Countries, North Atlantic, North Sea, North-East Atlantic, Northern Europe",,ECOLEX_Legislation
"Agriculture, Land Drainage and Irrigation Projects (Environmental Impact Assessment) (Scotland) Regulations 2017 (S.S.I. No. 114 of 2017).",2017.0,United Kingdom,"These Regulations implement, in relation to the use of uncultivated land or semi-natural areas for intensive agricultural purposes, the restructuring of rural land holdings on agricultural land, irrigation and land drainage, Directive 2011/92/EU of the European Parliament and of the Council on the assessment of the effects of certain public and private projects on the environment, as amended by Directive 2014/52/EU of the European Parliament and of the Council (“the EIA Directive”). They do so by imposing procedural requirements in relation to the consideration of applications for consent and restricting the grant of consent unless an Environmental Impact Assessment (“EIA”) has been carried out. The Regulations, among other things, prohibit the grant of consent for an EIA project unless an EIA has been carried out and the Scottish Ministers have first taken account of the environmental information (defined in regulation 2(1)) which is before them. Regulation 26 makes equivalent provision in relation to the determination of an application for multi-stage consent. it is prohibited to begin or carry out an EIA project for agriculture or irrigation without first obtaining consent from the Scottish Ministers. Procedures for consent are prescribed. Scottish Ministers must not grant consent for a project which would involve activities prohibited under those provisions of the Habitats Regulations which implement Articles 12, 13, 15 and 16 of the Habitats Directive. The Regulations also provide for appeal against decisions.",https://www.ecolex.org/details/legislation/agriculture-land-drainage-and-irrigation-projects-environmental-impact-assessment-scotland-regulations-2017-ssi-no-114-of-2017-lex-faoc165825/?type=legislation&xsubjects=Mineral+resources&page=497,"Agricultural & rural development, Environment gen., Water, Wild species & ecosystems", Regulation,"Sustainable development,Farming,Agricultural development,Cultural heritage,EIA,Waterworks,Drainage/land reclamation,Data collection/reporting,Irrigation,Ecosystem preservation,Protection of habitats","Atlantic Ocean Islands, Europe, EUROPE AND CENTRAL ASIA, European Union Countries, North Atlantic, North Sea, North-East Atlantic, Northern Europe",,ECOLEX_Legislation
Forestry (Environmental Impact Assessment) (Scotland) Regulations 2017 (S.S.I. No. 113 of 2017).,2017.0,United Kingdom,"These Regulations apply in relation to Scotland, and in relation to projects of afforestation, deforestation, forest road works and forest quarry works. They transpose Directive 2011/92/EU on the assessment of the effects of certain public and private projects on the environment, as it is amended by Directive 2014/52/EU of the European Parliament and of the Council. The Regulations impose procedural requirements in relation to the consideration of applications to carry out certain forestry projects which are likely to have significant effects on the environment (“EIA forestry projects”). Those require the consent of the Forestry Commissioners (“EIA consent”) and must be carried out in accordance with that EIA consent. The Regulations set out the conditions under which such EIA consent may be granted, which includes the performance of an environmental impact assessment (“EIA”) and the requirement for the Forestry Commissioners to take into account environmental information  mandatory conditions for every EIA consent, to the effect that every EIA forestry project must be started within five years and completed within ten years of the relevant EIA consent being granted. Procedures for determining whether a forestry project is an EIA forestry project are prescribed. The Regulations also, among other things, concern information relating to EIA to made available to the public, provide for consultation between EEA States where a forestry project is likely to have significant effects on the environment in another EEA State and deal with appeals to the Scottish Ministers and applications to the Court of Session.",https://www.ecolex.org/details/legislation/forestry-environmental-impact-assessment-scotland-regulations-2017-ssi-no-113-of-2017-lex-faoc165826/?type=legislation&xsubjects=Mineral+resources&page=497,"Environment gen., Forestry, Wild species & ecosystems", Regulation,"EIA,Legal proceedings/administrative proceedings,International relations/cooperation,Cultural heritage,Forest management/forest conservation,Forestry protection measures,Policy/planning,Afforestation/reforestation,Ecosystem preservation,Protection of environment,Protection of habitats","Atlantic Ocean Islands, Europe, EUROPE AND CENTRAL ASIA, European Union Countries, North Atlantic, North Sea, North-East Atlantic, Northern Europe",,ECOLEX_Legislation
