Policy,Year,Country,Policy_Content,URL,Subject,Document_Type,Keyword,Geographical_area,Entry into force notes,Source
Modification de l'ordonnance du DFE sur l’agriculture biologique.,2010.0,Switzerland,"La présente ordonnance modifie l’ordonnance du DFE du 22 septembre 1997 sur l’agriculture biologique. Notamment, on modifie, entre autres, l’article 8 établissant que des abeilles qui ne proviennent pas d’exploitations biologiques peuvent être détenues dans l’exploitation biologique, à condition d’être placées dans des ruches dont les rayons ou les cires gaufrées proviennent d’unités biologiques.",https://www.ecolex.org/details/legislation/modification-de-lordonnance-du-dfe-sur-lagriculture-biologique-lex-faoc099654/?type=legislation&xsubjects=Mineral+resources&page=1686,"Agricultural & rural development, Livestock, Cultivated plants", Regulation,"Ecological production/organic production,Apiculture/sericulture,Certification,International trade,Inspection,Agricultural land,Pests/diseases,Animal health,Fertilizers/nutrients,Pesticides,Biological agents","Alps, Europe, EUROPE AND CENTRAL ASIA, North-East Atlantic, Western Europe",La présente modification entre en vigueur le 1er janvier 2011.,ECOLEX_Legislation
"Modification de l'ordonnance sur les paiements directs versés dans l'agriculture (Ordonnance sur les paiements directs, OPD).",2010.0,Switzerland,"La présente ordonnance modifie l’ordonnance du 7 décembre 1998 sur les paiements directs. Notamment, on modifie, entre autres, l’article 42 établissant qu’aucune contribution n’est versée pour les terrains à bâtir équipés, sur lesquels la construction commence avant l’échéance de la période d’engagement applicable aux surfaces de compensation écologique ou dont la durée du bail à ferme est plus courte que la période d’engagement applicable aux surfaces de compensation écologique.",https://www.ecolex.org/details/legislation/modification-de-lordonnance-sur-les-paiements-directs-verses-dans-lagriculture-ordonnance-sur-les-paiements-directs-opd-lex-faoc099655/?type=legislation&xsubjects=Mineral+resources&page=1686,"Agricultural & rural development, Cultivated plants", Regulation,"Financial agricultural measures,Subsidy/incentive,Credit,Ecological production/organic production,Farming,Agricultural development,Legal proceedings/administrative proceedings,Crops/grasses,Viticulture/oenological practices","Alps, Europe, EUROPE AND CENTRAL ASIA, North-East Atlantic, Western Europe",,ECOLEX_Legislation
"Modification de l'ordonnance sur la terminologie agricole et la reconnaissance des formes d'exploitation (Ordonnance sur la terminologie agricole, OTerm).",2010.0,Switzerland,"La présente ordonnance modifie l’ l’ordonnance du 7 décembre 1998 sur la terminologie agricole. Notamment, on modifie l’article 16 concernant les surfaces considérées comme surface agricole.",https://www.ecolex.org/details/legislation/modification-de-lordonnance-sur-la-terminologie-agricole-et-la-reconnaissance-des-formes-dexploitation-ordonnance-sur-la-terminologie-agricole-oterm-lex-faoc099653/?type=legislation&xsubjects=Mineral+resources&page=1686,"Agricultural & rural development, Livestock, Food & nutrition", Regulation,"Agricultural land,Farming,Agricultural development,Crops/grasses,Milk/dairy products,Animal production,Grazing","Alps, Europe, EUROPE AND CENTRAL ASIA, North-East Atlantic, Western Europe",La présente modification entre en vigueur le 1er janvier 2011.,ECOLEX_Legislation
Modification de l'ordonnance sur les émoluments perçus par l'Office fédéral de l'agriculture (OEmol OFAG).,2010.0,Switzerland,La présente ordonnance modifie l’annexe 2 de l’ordonnance du 16 juin 2006 relative aux émoluments perçus par l’Office fédéral de l’agriculture.,https://www.ecolex.org/details/legislation/modification-de-lordonnance-sur-les-emoluments-percus-par-loffice-federal-de-lagriculture-oemol-ofag-lex-faoc099656/?type=legislation&xsubjects=Mineral+resources&page=1686,Agricultural & rural development, Regulation,"Institution,Research,Royalties/fees,Agricultural development","Alps, Europe, EUROPE AND CENTRAL ASIA, North-East Atlantic, Western Europe",La présente modification entre en vigueur le 1er janvier 2011.,ECOLEX_Legislation
Ecodesign for Energy-Related Products Regulations 2010 (S.I. No. 2617 of 2010).,2010.0,United Kingdom,"These Regulations implement Community legislation on the (surveillance on) the marketing of ecodesign products. They require that an energy-related product must not be placed on the market or put into service unless it complies with an applicable implementing measure. The Regulations require manufacturers to assess whether a product complies with an applicable implementing measure and to provide, in case it does, with respect to required declarations and ecolabelling.",https://www.ecolex.org/details/legislation/ecodesign-for-energy-related-products-regulations-2010-si-no-2617-of-2010-lex-faoc109362/?type=legislation&xsubjects=Mineral+resources&page=1686,Energy, Regulation,"Energy conservation/energy production,Ecofriendly products/ecofriendly processes,Certification","Atlantic Ocean Islands, Europe, EUROPE AND CENTRAL ASIA, European Union Countries, North Atlantic, North Sea, North-East Atlantic, Northern Europe",,ECOLEX_Legislation
"Plant Protection (Declaration and Control of Striga) Rules, 2010.",2010.0,"Tanzania, Un. Rep. of","These Rules, made under section 3 of the Plant Protection Act, declares striga to be a pest for purposes of the Act and the areas listed in the Schedule to be striga-infested areas. An Inspector or authorized officer who has established that land is infested with striga, may require the occupier or owner of such land to take traditional measures to control striga. If no action is undertaken by the owner or occupier, the Inspector or authorized officer may order measures to be carried out at the cost of the owner or occupier. An owner or occupier shall not move striga from infested land to non-infested land. An owner or occupier shall also carry out various prescribed measures to control striga on his or her land, including certain farming methods.",https://www.ecolex.org/details/legislation/plant-protection-declaration-and-control-of-striga-rules-2010-lex-faoc122752/?type=legislation&xsubjects=Mineral+resources&page=1686,"Agricultural & rural development, Cultivated plants", Regulation,"Farming,Plant protection,Plant production,Pests/diseases,Inspection,Quarantine,Enforcement/compliance,Offences/penalties","Africa, AFRICA FAO, Eastern Africa, Least Developed Countries",,ECOLEX_Legislation
Definition of Powers and Duties of the Executive Organs of the Federal Democratic Republic of Ethiopia Proclamation No. 691/2010.,2010.0,Ethiopia,"This Proclamation redefines the organization, powers and duties of the executive organs of the Federal Democratic Republic of Ethiopia. It stipulates that the powers and duties of the Prime Minister and the Council of Ministers shall be as specified in the Constitution and provides with respect to the composition and procedure of the Council of Ministers. The Proclamation also establishes various ministries and defines duties and powers of those ministries, including the Ministry of Agriculture and the Ministry of Water and Energy. Furthermore it  specifies executive organs that shall be  accountable to the Ministry of Agriculture and empowers the Council of Ministers to  reorganize the federal government executive  organs.",https://www.ecolex.org/details/legislation/definition-of-powers-and-duties-of-the-executive-organs-of-the-federal-democratic-republic-of-ethiopia-proclamation-no-6912010-lex-faoc135762/?type=legislation&xsubjects=Mineral+resources&page=1686,Agricultural & rural development, Legislation,"Agricultural development,Institution,Governance,Gender","Africa, AFRICA FAO, Eastern Africa, Landlocked Developing Countries, Least Developed Countries, Sahel",,ECOLEX_Legislation
Resolución Nº 02-15-2010 – Autoriza la comercialización de árboles de las especies de Pinabete  provenientes de las plantaciones voluntarias y de las especies de abetos que ingresaronsen al país.,2010.0,Guatemala,"la presente Resolución, emitida por el Consejo Nacional de Áreas Protegidas (CONAP), autoriza la comercialización de árboles de la especie Abies guatemalensis Rehder y Abies religiosa, provenientes de plantaciones voluntarias nacionales, y las especies de abetos Abies Fraser, Abies procera, Abies balsamea y Pseudotsuga menziesii, que ingresen al país, los cuales deberán contar, sin excepción, con el correspondiente Marchamo Blanco INAB/CONAP, Edición 2010. También se autoriza la comercialización de ciertos subproductos forestales de la especie Pinabete. La Resolución establece la tarifa para el otorgamiento de marchamos blancos que contengan la leyenda INAB/CONAP.",https://www.ecolex.org/details/legislation/resolucion-no-02-15-2010-autoriza-la-comercializacion-de-arboles-de-las-especies-de-pinabete-provenientes-de-las-plantaciones-voluntarias-y-de-las-especies-de-abetos-que-ingresaronsen-al-pais-lex-faoc207069/?type=legislation&xsubjects=Mineral+resources&page=1686,"Forestry, Wild species & ecosystems", Regulation,"Timber,Timber extraction/logging,Forest management/forest conservation,Trade in species,Authorization/permit,Royalties/fees","Americas, Central America, East Pacific, Latin America and the Caribbean, LATIN AMERICA AND THE CARIBBEAN FAO, North-East Pacific",,ECOLEX_Legislation
Loi n° 16 - 2010 du 26 octobre 2010 portant création du centre de recherches géologiques et minières.,2010.0,Congo,"La présente loi porte création du centre de recherches géologiques et minières, chargé, notamment, de:  initier, évaluer, effectuer ou faire effectuer des études et des recherches présentant un intérêt pour l’avancement de la connaissance géologique et minière du sol et du sous-sol national; contribuer à la valorisation des résultats des études et des recherches géologiques et minières en vue de la promotion et du développement du secteur minier.",https://www.ecolex.org/details/legislation/loi-n-16-2010-du-26-octobre-2010-portant-creation-du-centre-de-recherches-geologiques-et-minieres-lex-faoc105856/?type=legislation&xsubjects=Mineral+resources&page=1686,Mineral resources, Legislation,"Mining,Exploration","Africa, AFRICA FAO, Central Africa, South Atlantic",,ECOLEX_Legislation
Décret nº 2010-688 du 26 octobre 2010 portant organisation du ministère de l’agriculture et de l’élevage.,2010.0,Congo,Le présent décret porte organisation du ministère de l’agriculture et de l’élevage.,https://www.ecolex.org/details/legislation/decret-no-2010-688-du-26-octobre-2010-portant-organisation-du-ministere-de-lagriculture-et-de-lelevage-lex-faoc105857/?type=legislation&xsubjects=Mineral+resources&page=1687,Agricultural & rural development, Regulation,Institution,"Africa, AFRICA FAO, Central Africa, South Atlantic",,ECOLEX_Legislation
