Policy,Year,Country,Policy_Content,URL,Subject,Document_Type,Keyword,Geographical_area,Entry into force notes,Source
Resolución Nº 138-2012-OS ─ Procedimiento aplicable para la implementación y ejecución del Fondo de Inclusión Social Energético (FISE).,2012.0,Peru,"La presente Resolución aprueba la Norma sobre el Procedimiento, plazos, formatos y disposiciones aplicables para la implementación y ejecución del Fondo de Inclusión Social Energético (FISE), aplicable al descuento en la compra del balón de gas.",https://www.ecolex.org/details/legislation/resolucion-no-138-2012-os-procedimiento-aplicable-para-la-implementacion-y-ejecucion-del-fondo-de-inclusion-social-energetico-fise-lex-faoc115405/?type=legislation&xsubjects=Mineral+resources&page=1389,Energy, Regulation,"Energy conservation/energy production,Natural gas,Special fund,Transport/storage,Internal trade,Subsidy/incentive","Amazonia, Americas, East Pacific, Latin America and the Caribbean, LATIN AMERICA AND THE CARIBBEAN FAO, South America, South-Eastern Pacific",,ECOLEX_Legislation
"Resolución Nº 224-2012-AG — Dispone la inscripción de Extensionistas Campesinos Kamayoq, Yachachiq, Promotores Campesinos y otros extensionistas de culturas andinas en el Registro de Proveedores de Asistencia Técnica.",2012.0,Peru,"La presente Resolución dispone la inscripción de Extensionistas Campesinos Kamayoq, Yachachiq, Promotores Campesinos y otros extensionistas de culturas andinas en el Registro de Proveedores de Asistencia Técnica (PAT) del Instituto Nacional de Innovación Agraria (INIA), para lo cual podrá evaluar sus capacidades y competencias, en el marco del Plan de Transferencia de Tecnología, acorde con la normatividad existente, que facilite la certificación de personas capacitadas en centros laborales que con base a su experiencia han adquirido competencias sobre el manejo de cultivos y crianzas.",https://www.ecolex.org/details/legislation/resolucion-no-224-2012-ag-dispone-la-inscripcion-de-extensionistas-campesinos-kamayoq-yachachiq-promotores-campesinos-y-otros-extensionistas-de-culturas-andinas-en-el-registro-de-proveedores-de-asistencia-tecnica-lex-faoc152566/?type=legislation&xsubjects=Mineral+resources&page=1389,Agricultural & rural development, Regulation,"Agricultural development,Institution,Extension,Rural youth,Indigenous peoples,Rural employment,Registration,Capacity building","Amazonia, Americas, East Pacific, Latin America and the Caribbean, LATIN AMERICA AND THE CARIBBEAN FAO, South America, South-Eastern Pacific",,ECOLEX_Legislation
Burgenland Electricity Law Amendment 2006.,2012.0,Austria,"The present Law introduces some substantial amendments to the Burgenland Electricity Law 2006 (LGBl. No. 59). In particular, the Law amends, inter alia, article 67 concerning reporting and monitoring obligations; article 69 dealing with final provisions and implemented directives of the European Union.",https://www.ecolex.org/details/legislation/burgenland-electricity-law-amendment-2006-lex-faoc129900/?type=legislation&xsubjects=Mineral+resources&page=1389,Energy, Legislation,"Energy conservation/energy production,Environmental standards,Renewable energy,Hydropower generation","Alps, Europe, EUROPE AND CENTRAL ASIA, European Union Countries, Western Europe",,ECOLEX_Legislation
Mining Decree (No. 391 of 2012).,2012.0,Finland,"This Decree implements provisions of the Mining Act in respect of, among other things: notification of sampling related to prospecting work; preparation of a waste management plan for extractive waste in the exploration area; report on exploration activities and results in the exploration area; notification of after-care measures of exploration; exploration report and related data for the exploration permit; gold panning; mining permit applications; environmental impact assessments; and an application complying with section 34 of the Mining Act which applies to joint property, as defined in  the Act on Joint Property (758/1989), or a jointly owned forest, as defined in the Act on Jointly  Owned Forests (109/2003). .",https://www.ecolex.org/details/legislation/mining-decree-no-391-of-2012-lex-faoc124341/?type=legislation&xsubjects=Mineral+resources&page=1389,Mineral resources, Regulation,"Minerals,Mining,Exploration,EIA,Authorization/permit","Arctic, Europe, EUROPE AND CENTRAL ASIA, European Union Countries, North-East Atlantic, Northern Europe",,ECOLEX_Legislation
Ley Nº 7/2012 - Ley de montes de Galicia.,2012.0,Spain,"La presente Ley de montes de Galicia, tiene por objeto establecer el marco normativo de los montes o terrenos forestales existentes en la Comunidad Autónoma de Galicia, de conformidad con lo establecido en la Constitución española, el Estatuto de autonomía de Galicia y la Ley Nº 43/2003, de Montes.",https://www.ecolex.org/details/legislation/ley-no-72012-ley-de-montes-de-galicia-lex-faoc116566/?type=legislation&xsubjects=Mineral+resources&page=1389,Forestry, Legislation,"Protection forest,Agro-forestry,Afforestation/reforestation,Recreational forest,Policy/planning,Forest management/forest conservation,Institution,Public forest,Protected area,Forest fires,Erosion,Soil conservation/soil improvement,Forest service/forest officers,Forestry protection measures,Authorization/permit,Community management","Europe, EUROPE AND CENTRAL ASIA, European Union Countries, Mediterranean, North Atlantic, North-East Atlantic, Southern Europe",,ECOLEX_Legislation
Green Deal (Acknowledgment) (Scotland) Regulations 2012 (S.S.I. No. 214 of 2012).,2012.0,United Kingdom,"These Regulations, which apply to Scotland, make provision relating to the requirement to secure an acknowledgment of terms of a green deal plan where there is or may be a change of electricity bill payer at a green deal property (as defined). An acknowledgment is required by section 14(2) of the Energy Act 2011 and regulations 44, 46, 48 and 50 of the Green Deal Framework (Disclosure, Acknowledgment, Redress etc.) Regulations 2012.",https://www.ecolex.org/details/legislation/green-deal-acknowledgment-scotland-regulations-2012-ssi-no-214-of-2012-lex-faoc116592/?type=legislation&xsubjects=Mineral+resources&page=1389,Energy, Regulation,"Energy conservation/energy production,Contract/agreement,Renewable energy,Ecofriendly products/ecofriendly processes","Atlantic Ocean Islands, Europe, EUROPE AND CENTRAL ASIA, European Union Countries, North Atlantic, North Sea, North-East Atlantic, Northern Europe",,ECOLEX_Legislation
Regulation on the Construction of Barrier-Free Environments.,2012.0,China,This Regulation aim at creating barrier-free environments and ensuring that disabled persons and other members of society can equally participate in social life. the Regulation consists of  35 Articles divided into 6 Chapters: General Provisions; Construction of Barrier-free Facilities; Barrier-free Information Exchange;  Barrier-free Community Services; Legal Liabilities; Supplementary Provisions.	　　,https://www.ecolex.org/details/legislation/regulation-on-the-construction-of-barrier-free-environments-lex-faoc163624/?type=legislation&xsubjects=Mineral+resources&page=1389,"Agricultural & rural development, Livestock, Fisheries, Forestry, Cultivated plants", Regulation,"Social protection,Policy/planning,Inspection,Offences/penalties","Asia, ASIA AND THE PACIFIC, East Asian Seas, Eastern Asia, North Pacific, North-West Pacific",,ECOLEX_Legislation
Ordonnance n° 2012-827 du 28 juin 2012 relative au système d'échange de quotas d'émission de gaz à effet de serre (période 2013-2020).,2012.0,Saint Barthélemy (FRA),"La présente ordonnance relative au système d’échange de quotas d’émission de gaz à effet de serre (période 2013-2020) entré en vigueur en 2005 à la suite de l’adoption d’une directive du 13 octobre 2003, constitue la pierre angulaire de la politique européenne de lutte contre le changement climatique.  L’ordonnance transpose la directive 2009/29/CE du 23 avril 2009, adoptée dans le cadre du paquet « énergie-climat » sous présidence française de l’Union européenne en 2008, qui modifie la directive du 13 octobre 2003.  Elle prévoit pour la période 2013-2020 : un élargissement du périmètre du système d’échange : de nouveaux secteurs (notamment chimie et aluminium) et de nouveaux gaz à effet de serre (protoxyde d’azote et perfluorocarbone) sont inclus ; un passage à un mode dominant d’allocation des quotas : la mise aux enchères ; la plupart des exploitants devront acheter les quotas nécessaires pour couvrir leurs émissions de gaz à effet de serre ; le maintien du principe d’allocation gratuite de quotas pour certains secteurs industriels exposés à un risque important de concurrence internationale.",https://www.ecolex.org/details/legislation/ordonnance-n-2012-827-du-28-juin-2012-relative-au-systeme-dechange-de-quotas-demission-de-gaz-a-effet-de-serre-periode-2013-2020-lex-faoc177426/?type=legislation&xsubjects=Mineral+resources&page=1389,Environment gen., Legislation,"Environmental planning,Ozone layer,Emissions",Caribbean,,ECOLEX_Legislation
Law of Georgia on the Georgian Chamber of Commerce and Industry (No. 6569-RS of 2012),2012.0,Georgia,"This Law defines the legal, economic and social grounds for the activities of the Georgian Chamber of Commerce and Industry, as well as its principles, and organisational and legal form. The Georgian Chamber of Commerce and Industry (the ‘Chamber’) is a membership-based corporation under public law that incorporates the Chambers of Commerce and Industry of the Autonomous Republics of Adjara and Abkhazia, and regional Chambers of Commerce and Industry established according to the legislation of Georgia and the Autonomous Republics of Adjara and Abkhazia, as well as business entities and associations registered according to the legislation of Georgia. The business entities and their associations specified in this Law may become members of the Chamber on a voluntary basis after their registration according to the legislation of Georgia. The Chamber represents the interests of resident business entities in issues related to business activities within Georgia and abroad, regardless of whether or not such resident business entities are members of the Chamber. Membership of the Chamber, as well as membership of the Chambers of Commerce and Industry of the Autonomous Republics of Adjara and Abkhazia and regional Chambers of Commerce, shall not automatically entail an obligation on the part of the business entities and associations to pay a mandatory membership fee. Business entities and their associations may pay a membership fee on a voluntary basis. The Chamber shall perform its activities in accordance with this Law and the Charter of the Chamber. The jurisdiction of the Chamber shall apply across Georgia.",https://www.ecolex.org/details/legislation/law-of-georgia-on-the-georgian-chamber-of-commerce-and-industry-no-6569-rs-of-2012-lex-faoc200053/?type=legislation&xsubjects=Mineral+resources&page=1389,Agricultural & rural development, Legislation,"Institution,Business/industry/corporations,Cooperative/producer organization,Royalties/fees","Asia, Black Sea, Eastern Europe, EUROPE AND CENTRAL ASIA, Western Asia",,ECOLEX_Legislation
Administrative Rules for supply and marketing of LPG distributing and packing business and retail trade.,2012.0,,These Administrative Rules are enacted in accordance with the Petroleum Administration Act.,https://www.ecolex.org/details/legislation/administrative-rules-for-supply-and-marketing-of-lpg-distributing-and-packing-business-and-retail-trade-lex-faoc170334/?type=legislation&xsubjects=Mineral+resources&page=1389,Energy, Regulation,"Energy conservation/energy production,Data collection/reporting,Oil,Natural gas",,,ECOLEX_Legislation
Administrative Rules for supply and marketing of LPG distributing and packing business and retail trade (2012).,2012.0,,"These Administrative Rules, consisting of 12 Articles, are enacted in accordance with the Petroleum Administration Act.",https://www.ecolex.org/details/legislation/administrative-rules-for-supply-and-marketing-of-lpg-distributing-and-packing-business-and-retail-trade-2012-lex-faoc170366/?type=legislation&xsubjects=Mineral+resources&page=1389,Energy, Regulation,"Energy conservation/energy production,Data collection/reporting,Oil,Natural gas",,,ECOLEX_Legislation
Order No. 716 on organic agricultural production.,2012.0,Denmark,The Order sets regulations on the production of organic food which quality shall comply with standards authorized by the Danish AgriFish Agency. Production of organic commodities shall take place min. 6 months after approval. Identification of these commodities shall be registered and specific conditions are laid out for food of animal origin. The latter's living conditions shall adhere to the Order's requirements related to animal production and health. Import of organic food from developing countries shall be subject to thorough inspection prior to sale in Denmark.,https://www.ecolex.org/details/legislation/order-no-716-on-organic-agricultural-production-lex-faoc114727/?type=legislation&xsubjects=Mineral+resources&page=1389,"Agricultural & rural development, Livestock, Food & nutrition", Regulation,"Agricultural development,Ecological production/organic production,Authorization/permit,Poultry products,Swine,Internal trade,International trade,Inspection,Data collection/reporting,Packaging/labelling,Food quality control/food safety,Animal production,Animal health","Europe, EUROPE AND CENTRAL ASIA, European Union Countries, North Sea, North-East Atlantic, Northern Europe",Entry into force on 1 July 2012.,ECOLEX_Legislation
"Decreto Supremo Nº 103-2012-EF ─ Reglamento de la Ley Nº 29337, Ley que establece disposiciones para apoyar la competitividad productiva.",2012.0,Peru,"La presente Decreto Supremo aprueba el Reglamento de la Ley que establece disposiciones para apoyar la competitividad productiva, que tiene por objeto establecer los procedimientos y la metodología para la implementación, ejecución y evaluación de las iniciativas de apoyo a la competitividad productiva a que se refiere la Ley Nº 29.337.",https://www.ecolex.org/details/legislation/decreto-supremo-no-103-2012-ef-reglamento-de-la-ley-no-29337-ley-que-establece-disposiciones-para-apoyar-la-competitividad-productiva-lex-faoc114860/?type=legislation&xsubjects=Mineral+resources&page=1389,Agricultural & rural development, Regulation,"Agricultural development,Financial agricultural measures,Non-governmental entity,Agricultural commodities,Credit,Legal proceedings/administrative proceedings,Institution","Amazonia, Americas, East Pacific, Latin America and the Caribbean, LATIN AMERICA AND THE CARIBBEAN FAO, South America, South-Eastern Pacific",,ECOLEX_Legislation
"Decreto Supremo Nº 024-2012-EM ─ Modifica el Decreto Supremo Nº 064-2009-EM, Norma para la inspección periódica de tanques y tuberías enterrados que almacenan combustibles líquidos y otros productos derivados de los hidrocarburos.",2012.0,Peru,"El presente Decreto Supremo modifica la Norma que establece los requisitos mínimos para la inspección periódica de hermeticidad de tanques y tuberías enterrados que almacenan combustibles líquidos y otros productos derivados de los hidrocarburos, en aspectos relacionados con las pruebas de hermeticidad, los encargados de elaborar el Informe de índice de riesgo y los sistemas de detección de fugas.",https://www.ecolex.org/details/legislation/decreto-supremo-no-024-2012-em-modifica-el-decreto-supremo-no-064-2009-em-norma-para-la-inspeccion-periodica-de-tanques-y-tuberias-enterrados-que-almacenan-combustibles-liquidos-y-otros-productos-derivados-de-los-hidrocarburos-lex-faoc114861/?type=legislation&xsubjects=Mineral+resources&page=1389,Energy, Regulation,"Energy conservation/energy production,Oil,Natural gas,Transport/storage,Environmental standards,Inspection","Amazonia, Americas, East Pacific, Latin America and the Caribbean, LATIN AMERICA AND THE CARIBBEAN FAO, South America, South-Eastern Pacific",,ECOLEX_Legislation
"Volatile Organic Compounds in Paints, Varnishes and Vehicle Refinishing Products Regulations 2012  (S.I. No. 1715 of 2012).",2012.0,United Kingdom,"These Regulations implement Directive 2004/42/EC on the limitation of emissions of volatile organic compounds (VOCs) due to the use of organic solvents in certain paints and varnishes and vehicle refinishing products which lays down maximum content limit values for VOCs which apply in two phases for paints and varnishes. The Regulations, among other things, designate the Secretary of State as the competent authority for the United Kingdom for ensuring fulfilment of the obligations of Directive 2004/42/EC and create offences. They also transpose, in Schedule 3, the new analytical methods for determining VOC content contained in Directive 2010/79/EU on the adaptation to technical progress of Annex III to Directive 2004/42/EC.",https://www.ecolex.org/details/legislation/volatile-organic-compounds-in-paints-varnishes-and-vehicle-refinishing-products-regulations-2012-si-no-1715-of-2012-lex-faoc115667/?type=legislation&xsubjects=Mineral+resources&page=1389,Air & atmosphere, Regulation,"Pollution control,Air quality/air pollution,Enforcement/compliance,Offences/penalties,Environmental standards","Atlantic Ocean Islands, Europe, EUROPE AND CENTRAL ASIA, European Union Countries, North Atlantic, North Sea, North-East Atlantic, Northern Europe",,ECOLEX_Legislation
Green Deal (Disclosure) Regulations 2012 (S.I. No. 1660 of 2012).,2012.0,United Kingdom,"These Regulations, which apply to Great Britain, make provision relating to the requirement to disclose information about a green deal plan where a green deal property is being sold or let out. Section 12(2) of the Energy Act 2011 requires a seller, prospective landlord or licensor to disclose information about a green deal plan by providing the document produced or updated under section 8(4) to a prospective buyer, tenant or licensee of a green deal property at a specified time.",https://www.ecolex.org/details/legislation/green-deal-disclosure-regulations-2012-si-no-1660-of-2012-lex-faoc115671/?type=legislation&xsubjects=Mineral+resources&page=1389,"Energy, Land & soil", Regulation,"Energy conservation/energy production,Contract/agreement,Renewable energy,Ecofriendly products/ecofriendly processes,Land tenure,Transfer,Lease","Atlantic Ocean Islands, Europe, EUROPE AND CENTRAL ASIA, European Union Countries, North Atlantic, North Sea, North-East Atlantic, Northern Europe",,ECOLEX_Legislation
"Planning and Compulsory Purchase Act 2004 (Commencement No. 4 and Consequential, Transitional and Savings Provisions) (Wales) (Amendment) Order 2012 (W.S.I. No. 1664 (W.214) of 2012).",2012.0,United Kingdom,"This Order amends the Planning and Compulsory Purchase Act 2004 (Commencement No. 4 and Consequential, Transitional and Savings Provisions) (Wales) Order 2005 in relation to transitional arrangements regarding powers of local authorities under the Town and Country Planning Act 1990, the Planning and Compulsory Purchase Act 2004 and the Town and Country Planning (Development Plan) Regulations 1991.",https://www.ecolex.org/details/legislation/planning-and-compulsory-purchase-act-2004-commencement-no-4-and-consequential-transitional-and-savings-provisions-wales-amendment-order-2012-wsi-no-1664-w214-of-2012-lex-faoc115668/?type=legislation&xsubjects=Mineral+resources&page=1389,Land & soil, Regulation,"Land-use planning,Policy/planning,Institution","Atlantic Ocean Islands, Europe, EUROPE AND CENTRAL ASIA, European Union Countries, North Atlantic, North Sea, North-East Atlantic, Northern Europe",,ECOLEX_Legislation
Green Deal (Acknowledgment) Regulations 2012 (S.I. No. 1661 of 2012).,2012.0,United Kingdom,"These Regulations, which apply to England and Wales, make provision relating to the requirement to secure an acknowledgment of terms of a green deal plan where there is or may be a change of electricity bill payer at a green deal property (as defined). An acknowledgment is required by section 14(2) of the Energy Act 2011 and regulations 44, 46, 48 and 50 of the Green Deal Framework (Disclosure, Acknowledgment, Redress etc.) Regulations 2012.",https://www.ecolex.org/details/legislation/green-deal-acknowledgment-regulations-2012-si-no-1661-of-2012-lex-faoc115670/?type=legislation&xsubjects=Mineral+resources&page=1389,Energy, Regulation,"Energy conservation/energy production,Contract/agreement,Renewable energy,Ecofriendly products/ecofriendly processes","Atlantic Ocean Islands, Europe, EUROPE AND CENTRAL ASIA, European Union Countries, North Atlantic, North Sea, North-East Atlantic, Northern Europe",,ECOLEX_Legislation
Cantonal Spatial Information Ordinance.,2012.0,Switzerland,"The present Ordinance lays down detailed provisions with the purpose of implementing the Cantonal Spatial Information Law of 24 October 2010. In particular, the Ordinance applies to spatial base data of cantonal law. The text consists of 8 Parts as follows: General provisions (A); Geodetic reference systems and reference frame (B); Spatial data models (C); Representation models (D); Updating, historicisation (E); Ensuring availability of data (F); Geo-spatial metadata (G); Access and use (H); Geo-services (I); Exchange of data between authorities (J); Geographical information system (K); Participation of municipalities (L); Final provisions (M). Four Annexes are enclosed.",https://www.ecolex.org/details/legislation/cantonal-spatial-information-ordinance-lex-faoc125035/?type=legislation&xsubjects=Mineral+resources&page=1390,Land & soil, Regulation,"Land tenure,Survey/mapping,Cadastre/land registration,Data collection/reporting,Access-to-information,Access right,Inspection,Offences/penalties,Enforcement/compliance","Alps, Europe, EUROPE AND CENTRAL ASIA, North-East Atlantic, Western Europe",,ECOLEX_Legislation
Ley Nº 8.434 - Regulación de las actividades comprendidas en la explotación de las canteras.,2012.0,Argentina,"La presente Ley rige las actividades comprendidas en la explotación de las canteras, conforme a las disposiciones contenidas en el capítulo del Código de Minería referido a minerales de Tercera Categoría. Las actividades reguladas por estas disposiciones incluyen las tareas de exploración, extracción, selección, triturado y molienda de minerales de Tercera Categoría que se realicen dentro del área autorizada.",https://www.ecolex.org/details/legislation/ley-no-8434-regulacion-de-las-actividades-comprendidas-en-la-explotacion-de-las-canteras-lex-faoc126004/?type=legislation&xsubjects=Mineral+resources&page=1390,Mineral resources, Legislation,"Exploration,Minerals,Mining","Americas, Latin America and the Caribbean, LATIN AMERICA AND THE CARIBBEAN FAO, South America, South Atlantic",,ECOLEX_Legislation
Ministerial Decree No. 446 validating the Regulation on Special environmental fund.,2012.0,Kyrgyzstan,"This Ministerial Decree establishes that State Environmental Protection Agency shall be entitled to a Special environmental fund to be used for improvement of the functioning of the Agency, environmental protection arrangements and economic activities of the Agency. Finances of Special environmental fund shall be formed by allowances accredited by subordinated units under the jurisdiction of State Environmental Protection Agency, voluntary contributions of natural and legal persons, humanitarian aid, sponsorship and grants.",https://www.ecolex.org/details/legislation/ministerial-decree-no-446-validating-the-regulation-on-special-environmental-fund-lex-faoc132299/?type=legislation&xsubjects=Mineral+resources&page=1390,Environment gen., Regulation,Special fund,"Asia, Central Asia, CIS (Commonwealth of Independent States), EUROPE AND CENTRAL ASIA, Landlocked Developing Countries, North Asia",,ECOLEX_Legislation
Act on Promotion of Support Measures for the Lives of Disaster Victims to Protect and Support Children and Other Residents Suffering Damage due to Tokyo Electric Power Company's Nuclear Accident.,2012.0,Japan,"In consideration of the fact that radioactive materials released due to the accident at Tokyo Electric Power Company's Fukushima Daiichi Nuclear Power Station following the earthquake that occurred off the Pacific coast of the Tohoku region on March 11, 2011 have spread widely and that the risks of radiation from said radioactive materials to human health have yet to be elucidated scientifically, and that such fact has caused people who reside or did reside in areas where measured radiation doses exceed a certain level, those who were forced to evacuate under orders for evacuation issued by the national government, and those equivalent thereto to suffer concerns about their health and to bear such a burden in their lives, and in light of the fact that there is a need to support such people and that special consideration is required for children when offering said support, this Act provides basic matters concerning measures to be implemented to support disaster victims in their lives, with due consideration to any children, with the aim of promoting support measures for the lives of disaster victims for protecting and supporting them in their lives, thereby helping them shed anxiety and achieve stability in their lives. Article 4 establishes that the national government must take legislative or financial measures or other measures as necessary for implementing support measures. The text consists of 19 articles.",https://www.ecolex.org/details/legislation/act-on-promotion-of-support-measures-for-the-lives-of-disaster-victims-to-protect-and-support-children-and-other-residents-suffering-damage-due-to-tokyo-electric-power-companys-nuclear-accident-lex-faoc158121/?type=legislation&xsubjects=Mineral+resources&page=1390,"Air & atmosphere, Environment gen.", Legislation,"Disasters,Public health,Financing","Asia, ASIA AND THE PACIFIC, Eastern Asia, North Pacific, North-West Pacific",,ECOLEX_Legislation
"Acuerdo Nº 21/12 - Reglamento de la Ley para el fomento y desarrollo de la competitividad de la Micro, Pequeña y Mediana Empresa.",2012.0,Honduras,"El presente Reglamento de la Ley para el fomento y desarrollo de la competitividad de la Micro, Pequeña y Mediana Empresa, tiene como finalidad operativizar la Ley a través del desarrollo de los mecanismos, instrumentos y programas necesarios para implementar un sistema estratégico integrado con las instituciones públicas y privadas que aseguren el cumplimiento de la finalidad y los objetivos dispuestos en la Ley.",https://www.ecolex.org/details/legislation/acuerdo-no-2112-reglamento-de-la-ley-para-el-fomento-y-desarrollo-de-la-competitividad-de-la-micro-pequena-y-mediana-empresa-lex-faoc121666/?type=legislation&xsubjects=Mineral+resources&page=1390,Agricultural & rural development, Regulation,"Agricultural development,Financial agricultural measures,Institution,Legal proceedings/administrative proceedings,Extension,Capacity building,Non-governmental entity,Business/industry/corporations","Americas, Central America, Latin America and the Caribbean, LATIN AMERICA AND THE CARIBBEAN FAO, North-East Pacific",,ECOLEX_Legislation
Kantonal Ordinance on official survey (Official Survey Ordinance).,2012.0,Switzerland,"The present Ordinance enforces the Spatial Information Law of 24 October 2011. Article 1 establishes that the Cantonal Surveying Agency is the authority responsible for the official land survey in the Canton Zurich. The article lists also the tasks that shall be carried out by the afore-mentioned Agency, such as authorizing survey contracts, regulating  data description. The text consists of 36 articles divided into 10 Parts as follows: Competence (1); Content of cadastral survey (2); Marking (3); Inspection and acknowledgement (4); Updating and mapping (5); Access to data (6); Bearing of costs and contributions (7); Geographical names (8); Addresses of buildings (9); Final provisions (10).",https://www.ecolex.org/details/legislation/kantonal-ordinance-on-official-survey-official-survey-ordinance-lex-faoc125038/?type=legislation&xsubjects=Mineral+resources&page=1390,Land & soil, Regulation,"Land tenure,Survey/mapping,Cadastre/land registration,Institution,Access right,Access-to-information,Inspection,Enforcement/compliance","Alps, Europe, EUROPE AND CENTRAL ASIA, North-East Atlantic, Western Europe",The present Ordinance enters into force on 1 November 2012.,ECOLEX_Legislation
