Policy,Year,Country,Policy_Content,URL,Subject,Document_Type,Keyword,Geographical_area,Entry into force notes,Source
Order No 5 of 2010 of Minister of Environment and Natural Resources of Georgia on Rules for Granting Special Status to the Land of State Forests,2010.0,Georgia,"The Order regulates procedure for granting the special-type use of forest. It consists of six articles: General provisions (1); Agency granting the right of special-type use of forest (2); Purposes of special-type forest use (3); Application for the right of special-type forest use (4); Documents required for the application (5); and Procedure for granting the right of special-type forest use (6). Special-type of use of forest may include using forest for placing hydro-connections, pipelines, roads, communication and electricity transmission lines etc.",https://www.ecolex.org/details/legislation/order-no-5-of-2010-of-minister-of-environment-and-natural-resources-of-georgia-on-rules-for-granting-special-status-to-the-land-of-state-forests-lex-faoc167834/?type=legislation&xsubjects=Mineral+resources&page=1785,Forestry, Regulation,"Forest management/forest conservation,Forest service/forest officers,Forestry protection measures,Legal proceedings/administrative proceedings","Asia, Black Sea, Eastern Europe, EUROPE AND CENTRAL ASIA, Western Asia",,ECOLEX_Legislation
Política nacional para consolidar la interrelación del catastro y el registro. Documento CONPES Nº 3641.,2010.0,Colombia,"La Política nacional para consolidar la interrelación del catastro y el registro, en el marco de la estrategia para reducir la pobreza y la desigualdad. La presente Política identifica los ejes problemáticos relacionados principalmente con las deficiencias en el intercambio, unificación, mantenimiento y acceso a la información, tanto catastral como registral, por parte de todos los actores que participan en dicho proceso. Asimismo, define las acciones encaminadas al desarrollo de la Política como también, los responsables y tiempos para su ejecución. El problema central al cual busca responder la presente Política es la deficiencia que existe en la interrelación de la información de catastro con la información jurídica de registro.",https://www.ecolex.org/details/legislation/politica-nacional-para-consolidar-la-interrelacion-del-catastro-y-el-registro-documento-conpes-no-3641-lex-faoc191589/?type=legislation&xsubjects=Mineral+resources&page=1785,"Agricultural & rural development, Land & soil", ,"Institution,Land-use planning,Agricultural land,Urban land,Registration,Data collection/reporting,Land tenure,Ownership,Cadastre/land registration,Property rights,Tax/levy","Amazonia, Americas, East Pacific, Latin America and the Caribbean, LATIN AMERICA AND THE CARIBBEAN FAO, North-East Pacific, South America, South-Eastern Pacific",,ECOLEX_Legislation
Order No. 5 of 2010 of Minister of Environment and Natural Resources of Georgia on Rules for Granting Special Category to Lands of State Forest Fund,2010.0,Georgia,"The Order regulates special use of forest resources on the territory of the forest fund of Georgia. It consists of six articles: General provisions (1); Agency granting special use authorization on the territory of the forest state fund (2); Purposes of special use of forest (3); Raising the issue of special use of forest (4); Required documentation for granting the authorization for special use of forest (5); and Procedure of making the decision on granting the authorization for special use of forest (6). Special use of forest may be allowed for the following purposes: construction, reconstruction and demolition of hydro-links, pipelines, roads, communication and electricity transmission links and channels; during disaster efforts against fire, flood or other emergencies; when any part of infrastructure may be damaged by falling trees; when extracting minerals; and for reconstructing (restoring) monuments of cultural heritage. The Order provides detailed rules how to apply for the authorization for such special use.",https://www.ecolex.org/details/legislation/order-no-5-of-2010-of-minister-of-environment-and-natural-resources-of-georgia-on-rules-for-granting-special-category-to-lands-of-state-forest-fund-lex-faoc178544/?type=legislation&xsubjects=Mineral+resources&page=1785,Forestry, Regulation,"Forest management/forest conservation,Forestry protection measures,Authorization/permit,Procedural matters,Disasters,Cultural heritage,Forest fires,Land clearing,Protection forest,Right of use","Asia, Black Sea, Eastern Europe, EUROPE AND CENTRAL ASIA, Western Asia",,ECOLEX_Legislation
Minerals Law.,2010.0,Afghanistan,"This Law regulates the affairs related to determining the ownership and control of the State over mineral deposits and provides for the preservation, management, utilization and support of State, private and joint investments in the mining sector operations.",https://www.ecolex.org/details/legislation/minerals-law-lex-faoc095283/?type=legislation&xsubjects=Mineral+resources&page=1785,Mineral resources, Legislation,"Basic legislation,Minerals,Mining,Access right,Authorization/permit,Classification/declassification,EIA,Exploration,Institution,Dispute settlement","Asia, ASIA AND THE PACIFIC, Landlocked Developing Countries, Least Developed Countries, Southern Asia",This Law enters into force as of the date of its promulgation.,ECOLEX_Legislation
Mining Regulations.,2010.0,Afghanistan,"These Regulations implement provisions of the Minerals Law and aim at: the conservation, management, development and proper use of the mineral resources of the nation; promoting the rational exploration, development, exploitation and mineral processing in a combined effort of the Government and private sector; and at enhancing national growth in a way to safeguard the environment.",https://www.ecolex.org/details/legislation/mining-regulations-lex-faoc095284/?type=legislation&xsubjects=Mineral+resources&page=1785,"Mineral resources, Water", Regulation,"Minerals,Mining,Access right,Authorization/permit,Classification/declassification,EIA,Exploration,Institution,Dispute settlement,Sustainable use","Asia, ASIA AND THE PACIFIC, Landlocked Developing Countries, Least Developed Countries, Southern Asia",These Regulations enters into force one month following their publication in the Official Gazette.,ECOLEX_Legislation
Legislative Decree No.16 of 2010 amending the Legislative Decree No.25 of 2007 on Forests.,2010.0,Syrian Arab Republic,"This Decree consisting of 6 articles aims at amending some provisions regarding forests management in Syria. In particular it modifies (i) art.1 of the original Decree, the definition of the area surrounding the forest, becomes an area free from installations for 15 meters starting from each boundary of the forest lands; (ii) art.19 of the original Decree, states that it is forbidden to own or rent burning land of the State  regardless of the causes of the fire, whether the land is registered in the name of the State or not. The Directorate exclusively undertakes the investment of these lands after setting a fire signal; (iii) art.25 of the original Decree, about the establishment of facilities; (iv) art.36 of the original Decree, about fire warning sign.",https://www.ecolex.org/details/legislation/legislative-decree-no16-of-2010-amending-the-legislative-decree-no25-of-2007-on-forests-lex-faoc176117/?type=legislation&xsubjects=Mineral+resources&page=1785,Forestry, Legislation,"Forest fires,Forest management/forest conservation","Mediterranean, Middle East, NEAR EAST AND NORTH AFRICA, Western Asia",This Decree enters into force on the date of its publication in the Official Gazette.,ECOLEX_Legislation
"Land Acquisition (Compensation Tribunal) Rules, 2010 (L.N. No. 31 of 2010).",2010.0,Kenya,"These Rules concern procedures of the Tribunal established under the Land Acquisition Act, as amended. Any person who is aggrieved by an award of the Commissioner as specified in section 29 (7) and (8) of the Act may  apply to the Tribunal in accordance with these Rules.",https://www.ecolex.org/details/legislation/land-acquisition-compensation-tribunal-rules-2010-ln-no-31-of-2010-lex-faoc101231/?type=legislation&xsubjects=Mineral+resources&page=1786,Land & soil, Regulation,"Expropriation,Court/tribunal,Dispute settlement,Legal proceedings/administrative proceedings,Liability/compensation","Africa, AFRICA FAO, Eastern Africa",,ECOLEX_Legislation
Decreto Nº 51-2010: Ley de Incentivos Forestales para Poseedores de Pequeñas Extensiones de Tierra de Vocación Forestal o Agroforestal.,2010.0,Guatemala,"La presente Ley tiene por objeto la creación del Programa de Incentivos Forestales para Poseedores de Pequeñas Extensiones de Tierra de Vocación Forestal o Agroforestal, cuyo objetivo primordial es contribuir al manejo forestal sostenible de los bosques y fomentar la biodiversidad forestal.",https://www.ecolex.org/details/legislation/decreto-no-51-2010-ley-de-incentivos-forestales-para-poseedores-de-pequenas-extensiones-de-tierra-de-vocacion-forestal-o-agroforestal-lex-faoc101253/?type=legislation&xsubjects=Mineral+resources&page=1786,Forestry, Legislation,"Forest management/forest conservation,Agro-forestry,Subsidy/incentive,Afforestation/reforestation,Gender,Smallholders/peasants,Biodiversity,Sustainable use,Policy/planning","Americas, Central America, East Pacific, Latin America and the Caribbean, LATIN AMERICA AND THE CARIBBEAN FAO, North-East Pacific",,ECOLEX_Legislation
Acuerdo Nº 1 - Instructivo para la determinación del carácter de comunitario de una actividad turística.,2010.0,Ecuador,"El presente Acuerdo expide el Instructivo para la determinación del carácter de comunitario de una actividad turística, entendiéndose por comunidad a una estructura de organización social que integra a hombres y mujeres que comparten elementos comunes como territorio, historia, idioma, costumbres, valores, visión del mundo, lo cual permite generar una identidad colectiva.",https://www.ecolex.org/details/legislation/acuerdo-no-1-instructivo-para-la-determinacion-del-caracter-de-comunitario-de-una-actividad-turistica-lex-faoc093487/?type=legislation&xsubjects=Mineral+resources&page=1786,Environment gen., Regulation,"Community management,Cultural heritage,Tourism,Legal proceedings/administrative proceedings","Amazonia, Americas, East Pacific, Latin America and the Caribbean, LATIN AMERICA AND THE CARIBBEAN FAO, South America, South-Eastern Pacific",,ECOLEX_Legislation
"Decreto Supremo Nº 024-2010-PCM ─ Reglamento del Decreto Legislativo Nº 1085, que crea el Organismo de Supervisión de los Recursos Forestales y de Fauna Silvestre (OSINFOR).",2010.0,Peru,"El presente Decreto Supremo aprueba el Reglamento del Decreto Legislativo que crea el Organismo de Supervisión de los Recursos Forestales y de Fauna Silvestre (OSINFOR), con la finalidad de reglamentar las disposiciones legales relativas a la creación e implementación del OSINFOR vinculadas a la gestión, control y fiscalización de dichos recursos.",https://www.ecolex.org/details/legislation/decreto-supremo-no-024-2010-pcm-reglamento-del-decreto-legislativo-no-1085-que-crea-el-organismo-de-supervision-de-los-recursos-forestales-y-de-fauna-silvestre-osinfor-lex-faoc092606/?type=legislation&xsubjects=Mineral+resources&page=1786,"Forestry, Wild species & ecosystems", Regulation,"Institution,Inspection,Forest management/forest conservation,Timber extraction/logging,Afforestation/reforestation,Concession,Registration,Legal proceedings/administrative proceedings,Wild fauna","Amazonia, Americas, East Pacific, Latin America and the Caribbean, LATIN AMERICA AND THE CARIBBEAN FAO, South America, South-Eastern Pacific",,ECOLEX_Legislation
