Policy,Year,Country,Policy_Content,URL,Subject,Document_Type,Keyword,Geographical_area,Entry into force notes,Source
Order No. 8/2013 approving the Regulation for Municipal Territorial Plan of Ribeira Brava (PDM) within São Nicolau island.,2013.0,Cabo Verde,"This Order approves the Regulation for Municipal Territorial Plan of Ribeira Brava (PDM) in the Municipality of Ribeira Brava. The Regulation, consisting of 5 Chapters and 1 Annex, divided in 57 articles, establishes administrative and legal regime for use, occupation and transformation of the entire territory of the Municipality of Ribeira Brava within São Nicolau island. The Regulation specifies licence requirements, approvals and authorizations to be submitted to the competent authority. Geographical plants of these areas are appended to the text. This Territorial Plan aims at managing and developing the above mentioned area according to provisions established by Legislative Decree No. 1/2006 and Decree-Law No. 43/2010.",https://www.ecolex.org/details/legislation/order-no-82013-approving-the-regulation-for-municipal-territorial-plan-of-ribeira-brava-pdm-within-sao-nicolau-island-lex-faoc121360/?type=legislation&xsubjects=Mineral+resources&page=1289,Environment gen., Regulation,"Land-use planning,Public land,Urban land,Legal proceedings/administrative proceedings,Environmental planning,Environmental standards,Zoning","Africa, AFRICA FAO, Atlantic Ocean Islands, North Atlantic, Sahel, Small Island Developing States, Western Africa",This Order enters into force on the day of its publication.,ECOLEX_Legislation
Ministerial Decree No. 80 validating the Regulation on access to information contained in the state information system of fuel and energy complex.,2013.0,Russian Federation,"This Ministerial Decree establishes the modalities of access to information contained in the state information system of fuel and energy complex and use thereof. The aforesaid information, except for information of restricted and limited access covered by State Secret Act, shall be displayed on official web-site of the operator of the state information system of fuel and energy complex.",https://www.ecolex.org/details/legislation/ministerial-decree-no-80-validating-the-regulation-on-access-to-information-contained-in-the-state-information-system-of-fuel-and-energy-complex-lex-faoc130166/?type=legislation&xsubjects=Mineral+resources&page=1290,Energy, Regulation,"Oil,Natural gas,Data collection/reporting,Access-to-information","Arctic, ASIA AND THE PACIFIC, Black Sea, Caspian Sea, CIS (Commonwealth of Independent States), Eastern Europe, Europe, EUROPE AND CENTRAL ASIA, North Pacific, North-West Pacific",,ECOLEX_Legislation
Decree No. 4 of the Ministry of Agriculture and Food validating the Instruction on inspection of technical state of agricultural machinery and equipment.,2013.0,Belarus,This Ministerial Decree establishes the modalities of inspection of technical state of agricultural machinery and equipment with a view of certification of safety and functionality thereof in compliance with technical requirements and standards. Annex 1 contains inspection certificate form.,https://www.ecolex.org/details/legislation/decree-no-4-of-the-ministry-of-agriculture-and-food-validating-the-instruction-on-inspection-of-technical-state-of-agricultural-machinery-and-equipment-lex-faoc136864/?type=legislation&xsubjects=Mineral+resources&page=1290,Agricultural & rural development, Regulation,"Equipment,Inspection,Certification","CIS (Commonwealth of Independent States), Eastern Europe, Europe, EUROPE AND CENTRAL ASIA",,ECOLEX_Legislation
Agriculture sectoral development-oriented poverty reduction program (2011-2020).,2013.0,China,"The Agriculture sectoral development-oriented poverty reduction program (2011-2020) is a guiding document of national poverty alleviation and development work for the agriculture sector. It has been formulated to further accelerate the development of poor areas, and promote common prosperity. The Outline is a sectoral document. The main objectives is: the growth rate of per capita net income of farmers in poor areas will be higher than the national average level; the indicators of basic public services will be close to the national average level; and the tendency of development gap enlargement will be reversed.",https://www.ecolex.org/details/legislation/agriculture-sectoral-development-oriented-poverty-reduction-program-2011-2020-lex-faoc156582/?type=legislation&xsubjects=Mineral+resources&page=1290,Agricultural & rural development, ,"Poverty,Policy/planning,Social protection,Soil conservation/soil improvement,Special fund,Subsidy/incentive,Sustainable development,Sustainable use,Cooperative/producer organization,Ecological production/organic production,Equity,Gender,Crops/grasses,Governance,Financial agricultural measures,Fiscal and market measures,Flood,Integrated management,Disasters,Capacity building,Liability/compensation,Biodiversity,Early warning system/emergency intervention system","Asia, ASIA AND THE PACIFIC, East Asian Seas, Eastern Asia, North Pacific, North-West Pacific",,ECOLEX_Legislation
"Arrêté interministériel nº 2007-2013 portant création, organisation et fonctionnement du Comité Interministériel Foncier - Forêts.",2013.0,Madagascar,"Cet arrêté met en place un Comité Interministériel Foncier-Forêts, organe de liaison, de coordination, de concertation, d’actions et d’opérations conjointes rentrant dans le cadre de la sécurisation foncière et de l’aménagement spatial des terrains relevant du Domaine Forestier National (DFN), des sites Koloala, des aires protégées existantes et celles qui sont en cours de création, ainsi que des terrains à statuts spécifiques relevant du secteur de l’Environnement et des Forêts tels qu’ils sont définis par la législation en vigueur. Le Comité est un organe consultatif et de recours pour les services déconcentrés. Il peut être amené à proposer des mesures pour la prévention et le rétablissement des situations conflictuelles et litigieuses. Il a notamment pour mission de veiller à l’harmonisation et à l’application des textes en vigueur.",https://www.ecolex.org/details/legislation/arrete-interministeriel-no-2007-2013-portant-creation-organisation-et-fonctionnement-du-comite-interministeriel-foncier-forets-lex-faoc203577/?type=legislation&xsubjects=Mineral+resources&page=1290,"Land & soil, Wild species & ecosystems", Regulation,"Policy/planning,Land tenure,Governance,Business/industry/corporations,Institution,Dispute settlement,National parks,Protected area,Public forest","Africa, AFRICA FAO, Eastern Africa, Indian Ocean, Least Developed Countries",,ECOLEX_Legislation
"Order of the National Development and Reform Commission, the Ministry of Industry and Information Technology, the Ministry of Supervision, the Ministry of Housing and Urban-Rural Development, the Ministry of Transport, the Ministry of Railways, the Ministry of Water Resources and the Ministry of Commerce (No. 20/2013) promulgating the Measures for Electronic Bidding.",2013.0,China,"These Measures are enacted to regulate electronic bidding activities, and promote the healthy development of electronic bidding. The Measures consist of 9 Chapters: General provisions; Conclusion of concession agreements;  Trading platform for electronic bidding; Electronic bid invitation; Electronic bidding; Electronic bid opening, bid evaluation and bid winning; Information sharing and public services; Supervision and Administration; Legal liability; Supplementary provisions.",https://www.ecolex.org/details/legislation/order-of-the-national-development-and-reform-commission-the-ministry-of-industry-and-information-technology-the-ministry-of-supervision-the-ministry-of-housing-and-urban-rural-development-the-ministry-of-transport-the-ministry-of-railways-the-ministry-of-water-resources-and-the-ministry-of-commerce-no-202013-promulgating-the-measures-for-electronic-bidding-lex-faoc189777/?type=legislation&xsubjects=Mineral+resources&page=1290,"Energy, Water", Regulation,"Oil,Natural gas,Offences/penalties,Business/industry/corporations,Registration,Inspection,Water supply,Waterworks","Asia, ASIA AND THE PACIFIC, East Asian Seas, Eastern Asia, North Pacific, North-West Pacific",,ECOLEX_Legislation
Measures of Shaanxi province for energy conservation of public organizations.,2013.0,China,"These Measures aim at strengthening energy conservation in the whole society, raising efficiency of energy utilization, protecting and improving the environment. The Measures consist of 80 Articles divided into 6 Chapters: General Provisions (I); Administration of Energy Conservation (II); Rational Utilization and Energy Conservation (III); Technical Advancement and Incentive Measures f or Energy Conservation (IV); Legal Liabilities (V); Supplementary Provisions (VI).",https://www.ecolex.org/details/legislation/measures-of-shaanxi-province-for-energy-conservation-of-public-organizations-lex-faoc146912/?type=legislation&xsubjects=Mineral+resources&page=1290,Energy, Regulation,"Energy conservation/energy production,Policy/planning,Offences/penalties","Asia, ASIA AND THE PACIFIC, East Asian Seas, Eastern Asia, North Pacific, North-West Pacific",,ECOLEX_Legislation
"Mines and Minerals Development (General) (Amendment) Regulations, 2013 (S.I. No. 17 of 2013).",2013.0,Zambia,"These Regulations amend the Mines and Minerals Development (General) Regulations, 2008 by substituting Part VI and the Sixth Schedule and in regulation 2 (new definition of “minimum annual prospecting expenditure”), regulation 39 (on payment of prescribed area charges) and in the Fourth (payment of minimum annual prospecting expenditure by a holder of a mining right) and Fifth Schedule (prescribing forms). Part VI concerns consent to the transfer or assignment of share in, or control of, company, mining right or mineral processing licence.",https://www.ecolex.org/details/legislation/mines-and-minerals-development-general-amendment-regulations-2013-si-no-17-of-2013-lex-faoc133580/?type=legislation&xsubjects=Mineral+resources&page=1290,Mineral resources, Regulation,"Mining,Exploration,Royalties/fees,Liability/compensation,Offences/penalties,Authorization/permit","Africa, AFRICA FAO, Eastern Africa, Landlocked Developing Countries, Least Developed Countries",,ECOLEX_Legislation
Law No. 550-IVQD amending the Law on organic agriculture.,2013.0,Azerbaijan,"This Law adds “protection of branded traditional and cultural plants” phrase under Paragraph 1 of Article 4. Paragraph 1 of Article 4 of the original law is related to the protection of environment, natural resources and consumers’ health by ensuring stable and balanced agroecosystem.",https://www.ecolex.org/details/legislation/law-no-550-ivqd-amending-the-law-on-organic-agriculture-lex-faoc159156/?type=legislation&xsubjects=Mineral+resources&page=1290,"Agricultural & rural development, Cultivated plants", Legislation,"Cultural heritage,Protection of environment,Public health,Ecological production/organic production,Plant protection","Asia, Caspian Sea, CIS (Commonwealth of Independent States), EUROPE AND CENTRAL ASIA, Landlocked Developing Countries, Western Asia",,ECOLEX_Legislation
Law No. 553-IVQD Environmental Protection Law of 1999.,2013.0,Azerbaijan,This Law amends the Environmental Protection Law of 1999 by adding a new Clause to the second paragraph of Article 4. The new Clause No 2.3-1 covers provisions regarding the conservation and sustainable use of genetic resources of cultivated plants and provisions on the control of agricultural plant materials produced by biotechnology and genetic engineering methods.,https://www.ecolex.org/details/legislation/law-no-553-ivqd-environmental-protection-law-of-1999-lex-faoc159957/?type=legislation&xsubjects=Mineral+resources&page=1290,"Environment gen., Cultivated plants", Legislation,"Biotechnology,Inspection,Genetic resources,Plant production,Planting material/seeds,Protection of environment,Sustainable use","Asia, Caspian Sea, CIS (Commonwealth of Independent States), EUROPE AND CENTRAL ASIA, Landlocked Developing Countries, Western Asia",,ECOLEX_Legislation
