Policy,Year,Country,Policy_Content,URL,Subject,Document_Type,Keyword,Geographical_area,Entry into force notes,Source
"Ownership of Minerals Act (R.S.N.B. 2011, c. 200).",2011.0,Canada,"Under this Act, the Lieutenant Governor in Council has full powers and authority to make orders concerning the ownership of mineral resources, in particular, among others, to declare all or any minerals, whether owned by the Crown or by any other person, existing in a natural state beneath the surface of the land anywhere in the Province, or in any designated area in the Province, to be property separate from the soil; to vest in the Crown in right of the Province all or any of such minerals or any part thereof notwithstanding that all or any of such minerals or any part thereof are claimed by any person through the express words of any instrument, enactment, law or otherwise howsoever and to declare that every grant of land from the Crown made at any time heretofore shall be construed and held to have excepted and reserved to the Crown all the minerals, within the meaning of this Act, in the land, notwithstanding the provisions of any grant or instrument or of any enactment or law. The text consists of 8 sections.",https://www.ecolex.org/details/legislation/ownership-of-minerals-act-rsnb-2011-c-200-lex-faoc109699/?type=legislation&xsubjects=Mineral+resources&page=1587,Mineral resources, Legislation,"Access right,Minerals","Americas, Arctic, ASIA AND THE PACIFIC, East Pacific, North America, North Atlantic",,ECOLEX_Legislation
Act amending section 64 of the Radiation Safety Act (No. 489 of 2011).,2011.0,Finland,This Act amends the Radiation Safety Act in section 64 on the prosecution of offences.,https://www.ecolex.org/details/legislation/act-amending-section-64-of-the-radiation-safety-act-no-489-of-2011-lex-faoc125909/?type=legislation&xsubjects=Mineral+resources&page=1587,Air & atmosphere, Legislation,"Radiation,Offences/penalties","Arctic, Europe, EUROPE AND CENTRAL ASIA, European Union Countries, North-East Atlantic, Northern Europe",,ECOLEX_Legislation
Act amending section 74 of the Nuclear Energy Act (No. 483 of 2011).,2011.0,Finland,This Act amends the Nuclear Energy Act section 74 on the prosecution of offences.,https://www.ecolex.org/details/legislation/act-amending-section-74-of-the-nuclear-energy-act-no-483-of-2011-lex-faoc125929/?type=legislation&xsubjects=Mineral+resources&page=1587,"Energy, Waste & hazardous substances", Legislation,"Energy conservation/energy production,Nuclear energy,Offences/penalties,Waste management,Waste disposal,Hazardous waste,Radiation,Pollution control","Arctic, Europe, EUROPE AND CENTRAL ASIA, European Union Countries, North-East Atlantic, Northern Europe",,ECOLEX_Legislation
"Farm Improvement Assistance Loans Act (RSNB 2011, c 155).",2011.0,Canada,"The present Act lays down provisions relating to a farm credit programme to provide stock bonds and farm improvement loans. In particular, the Act establishes that low interest loans shall be given to farmers to improve their agricultural activities.  The text consists of 3 sections as follows: Definition of director (1); Rebate of interest to farmers (2); Regulations (3).",https://www.ecolex.org/details/legislation/farm-improvement-assistance-loans-act-rsnb-2011-c-155-lex-faoc119938/?type=legislation&xsubjects=Mineral+resources&page=1587,Agricultural & rural development, Legislation,"Financial agricultural measures,Credit,Farming,Agricultural development,Enforcement/compliance","Americas, Arctic, ASIA AND THE PACIFIC, East Pacific, North America, North Atlantic",The present Act enters into force on 1 September 2011.,ECOLEX_Legislation
Décret 11-448 PR/PM/MATUH/2011 du 13 mai 2011 portant déclassement des réserves situées dans l'emprise du projet de drainage des eaux pluviales de la zone Nord-est de N'Djamena.,2011.0,Chad,Le présent décret classe dans le domaine privé de l'Etat les parcelles situées hors de l'emprise du Projet de drainage des eaux fluviales de la zone Nord Est de la Ville de N'Djaména.,https://www.ecolex.org/details/legislation/decret-11-448-prpmmatuh2011-du-13-mai-2011-portant-declassement-des-reserves-situees-dans-lemprise-du-projet-de-drainage-des-eaux-pluviales-de-la-zone-nord-est-de-ndjamena-lex-faoc141672/?type=legislation&xsubjects=Mineral+resources&page=1587,"Land & soil, Water", Regulation,"Drainage/land reclamation,Public land,Classification/declassification","Africa, AFRICA FAO, Central Africa, Landlocked Developing Countries, Least Developed Countries, Sahel",,ECOLEX_Legislation
"Emergency Measures Act (R.S.N.B. 2011, c. 147).",2011.0,Canada,"The present Act lays down provisions relating to emergency measures. The Act contains at the outset a definition clause relating to various terms employed therein such as, for example, “assisting force”, “disaster”, “emergency”, “emergency measure plan”, “Emergency Measure Organization”, “fire marshal”, “state of emergency”, etc. Section 7 establishes that the Emergency Measure Organization may: a) review and approve, or require modification to provincial and municipal emergency measures plans; b) make surveys and studies to identify and record actual and potential hazards which may cause an emergency or disaster, c) make surveys and studies of resources and facilities to provide information for the effective preparation of emergency measures plans; d) conduct public information programs related to the prevention and mitigation of damage by disaster. The Minister may at any time, when he is satisfied that an emergency exists or may exist, declare a state of emergency in respect to all or any area of the Province. The text consists of 25 sections.",https://www.ecolex.org/details/legislation/emergency-measures-act-rsnb-2011-c-147-lex-faoc110709/?type=legislation&xsubjects=Mineral+resources&page=1587,Environment gen., Legislation,"Pollution control,Disasters,Early warning system/emergency intervention system","Americas, Arctic, ASIA AND THE PACIFIC, East Pacific, North America, North Atlantic",,ECOLEX_Legislation
"Topsoil Preservation Act (R.S.N.B. 2011, c. 230).",2011.0,Canada,"This Act prohibits the removal of topsoil from a site or the move of topsoil from a parcel unless with the proper permit. Under section 4, no person shall transport topsoil in, on or by a vehicle on a highway except in accordance with the regulations. The Act provides for inspections, enforcement and offences and penalties. The text consists of 23 sections.",https://www.ecolex.org/details/legislation/topsoil-preservation-act-rsnb-2011-c-230-lex-faoc110708/?type=legislation&xsubjects=Mineral+resources&page=1587,Land & soil, Legislation,"Soil conservation/soil improvement,Soil rehabilitation","Americas, Arctic, ASIA AND THE PACIFIC, East Pacific, North America, North Atlantic",,ECOLEX_Legislation
"Surveys Act (RSNB 2011, c 226).",2011.0,Canada,"The present Act lays down provisions relating to land survey in the province of New Brunswick. In particular, the Act sets out details of land surveying procedures. Section 2 establishes that the Service New Brunswick shall establish and maintain a system of plane rectangular coordinates for locating points on the earth’s surface. A surveyor with at least five years experience as such shall be designated as Director of Surveys by Service New Brunswick. The text – consisting of 16 sections – deals with the following matters: establishment of a coordinate survey system, director of surveys, duty of surveyor, form of report, note or plan of surveyors, power of Cabinet respecting integrated survey area, filing respecting integrated survey area plan, filing respecting amended integrated survey area plan, duty of surveyor to tie to coordinate monument, survey plan respecting integrated survey area, filing of value of coordinate monuments, lost legal monuments, power of trespass, offences and penalties and municipal agreements and advisory councils. The text consists of 15 sections and 1 Schedule.",https://www.ecolex.org/details/legislation/surveys-act-rsnb-2011-c-226-lex-faoc110711/?type=legislation&xsubjects=Mineral+resources&page=1587,Land & soil, Legislation,"Survey/mapping,Public land,Land tenure,Institution,Policy/planning,Data collection/reporting,Inspection,Offences/penalties","Americas, Arctic, ASIA AND THE PACIFIC, East Pacific, North America, North Atlantic",,ECOLEX_Legislation
"Scalers Act (RSNB 2011, c 219).",2011.0,Canada,"This Act concerns the activities of scalers, i.e. people licensed to measure primary forest products. The Act regulates the licencing procedure, provides for the establishment of a Board of Examiners and regulates its operation. The text consists of 17 sections.",https://www.ecolex.org/details/legislation/scalers-act-rsnb-2011-c-219-lex-faoc110710/?type=legislation&xsubjects=Mineral+resources&page=1587,Forestry, Legislation,"Timber,Internal trade,Public forest","Americas, Arctic, ASIA AND THE PACIFIC, East Pacific, North America, North Atlantic",,ECOLEX_Legislation
"Crown Grant Restrictions Act (RSNB 2011, c 136).",2011.0,Canada,"This Act released the restrictions made on any grant issued by the Crown prior to January 1, 1990. Restrictions may affect clear, cultivate, seat, enclose, dyke, repair or maintain dykes, improve, sow, plant, sow or plant specified crops or drain the land; dig a stone quarry or other mine or cut wood or employ labour in digging any stone quarry or other mine or in the cutting of wood; and keep or put neat cattle on the land. The text consists of 4 sections.",https://www.ecolex.org/details/legislation/crown-grant-restrictions-act-rsnb-2011-c-136-lex-faoc110705/?type=legislation&xsubjects=Mineral+resources&page=1587,Land & soil, Legislation,"Use restrictions,Land-use planning,Authorization/permit","Americas, Arctic, ASIA AND THE PACIFIC, East Pacific, North America, North Atlantic",,ECOLEX_Legislation
