Policy,Year,Country,Policy_Content,URL,Subject,Document_Type,Keyword,Geographical_area,Entry into force notes,Source
Customary Law (Declaration) Act 1990.,1990.0,Marshall Islands,"Pursuant to Article X, Section 2 of the Constitution of the Republic of the Marshall Islands, it is hereby declared as a matter of customary law that in cases involving title disputes between Iroijlablab title claimants, the Alabs of the directly affected lands shall have the ability and obligation to determine the rightful holder of the Iroijlablab title. The declaration of customary law shall not affect any final judgment on the merits concerning Iroijlablab title disputes rendered by a court of competent jurisdiction before the effective date of this Chapter, nor shall it affect the doctrines of res judicata and estoppel.",https://www.ecolex.org/details/legislation/customary-law-declaration-act-1990-lex-faoc035403/?type=legislation&xsubjects=Mineral+resources&page=3570,Land & soil, Legislation,"Traditional rights/customary rights,Dispute settlement,Ownership,Cultural heritage","Micronesia, Oceania, South Pacific",,ECOLEX_Legislation
Commodity Levies Act 1990 (No. 127 of 1990).,1990.0,New Zealand,This Act empowers the Governor-General to make Orders in Council imposing on a commodity a levy payable to a body corporate.,https://www.ecolex.org/details/legislation/commodity-levies-act-1990-no-127-of-1990-lex-faoc119449/?type=legislation&xsubjects=Mineral+resources&page=3570,"Agricultural & rural development, Forestry, Mineral resources, Cultivated plants, Wild species & ecosystems", Legislation,"Agricultural commodities,Tax/levy,Offences/penalties,Dispute settlement,Timber,Planting material/seeds,Minerals,Plant variety,Plant production,Wild fauna,Wild flora","ASIA AND THE PACIFIC, Australia and New Zealand, Oceania, South Pacific",This Act enters into force 28 days after the day on which it receives the Royal assent.,ECOLEX_Legislation
Administrative Measures for Standardization of Energy.,1990.0,China,"These Measures, consisting of 16 Articles,  are formulated in accordance with the  Standardization Law and its Enforcement Rules, aiming to  to strengthen the management of energy standardization.",https://www.ecolex.org/details/legislation/administrative-measures-for-standardization-of-energy-lex-faoc170316/?type=legislation&xsubjects=Mineral+resources&page=3570,Energy, Regulation,"Energy conservation/energy production,Standards","Asia, ASIA AND THE PACIFIC, East Asian Seas, Eastern Asia, North Pacific, North-West Pacific",,ECOLEX_Legislation
Morcellement Act.,1990.0,Mauritius,"This Act shall apply to a morcellement, i.e. the division of a plot of land into two or more lots, but not to subdivision for purposes sale to the Government or a compulsory acquisition under the Land Acquisition Act; a mortgage or a fixed charge; or a sale or a donation of not more than one lot and to a division in kind between co-heirs, ascendants and descendants. The Act establishes the Morcellement Board, which shall assess an application for a morcellement permit by a developer. The application shall be accompanied by a plan prepared by a land surveyor. Where the Minister is satisfied with the recommendations of the Board, he or she shall issue a letter of intent to the developer. The letter of intent shall entitle the developer to execute the infrastructural works. After report by the Board on the execution of the infrastructural works, the Minister may issue a permit. Land for which no permit is issued may not be sold by a developer.",https://www.ecolex.org/details/legislation/morcellement-act-lex-faoc092320/?type=legislation&xsubjects=Mineral+resources&page=3570,Land & soil, Legislation,"Land-use planning,Subdivision of land,Institution,Authorization/permit","Africa, AFRICA FAO, Eastern Africa, Indian Ocean, Small Island Developing States",,ECOLEX_Legislation
Maritime Regulations (Cap 131).,1990.0,Vanuatu,"These Regulations carry into effect provisions  the Maritime Act concerning a wide variety of matters relating to navigation and seagoing vessels, including: documentation and identification of vessels; annual tonnage tax; registration of vessels; prevention of pollution of the sea by oil; inspections; recording and reporting; marine casualties, offences and marine investigations. The Regulations also provide for payment of levies into a Trust Fund to be used for, among other things: marine investigation into casualties and oil pollution; assessments and dues payable under international agreements and organizations including FAO and regional fisheries agreements; works and actions in relation to the prevention and the treatment of marine pollution and environmental nuisances; and promotion of the fishing industry.",https://www.ecolex.org/details/legislation/maritime-regulations-cap-131-lex-faoc110278/?type=legislation&xsubjects=Mineral+resources&page=3570,"Fisheries, Sea, Environment gen.", Regulation,"Marine pollution,Agricultural development,Fishing vessel,Data collection/reporting,Tax/levy,Navigation,Inspection,Oil pollution,International agreement-implementation,Enforcement/compliance,Offences/penalties","ASIA AND THE PACIFIC, Least Developed Countries, Melanesia, Oceania, Small Island Developing States, South Pacific",,ECOLEX_Legislation
Environmental Data Quality Assurance Regulation (B.C. Reg. 301/90).,1990.0,Canada,"The present Regulation enacts the Environmental Management Act. Section 2 of the above-mentioned Regulation establishes that a person required to submit environmental monitoring data as a requirement of an order, permit, licence, approval or certificate under an enactment administered by the Minister of Water, Land and Air Protection shall, on the request of a director: a) cause any samples collected to be analyzed for designated characteristics at a registered laboratory; b) provide, within 45 days of sample collection, analytical results to the director; c) provide analytical results to the director for analysis of standard samples of gases introduced to an emission analyzer, or ambient air analyzer operated; d) follow sampling, analytical, quality control and reporting procedures as specified or authorized by the director, and e) describe to the director fully in a form specified by the director the methods used to collect and analyze the samples. The text consists of 6 sections as follows: Interpretation (1); Sampling, analytical, quality control and reporting procedures (2); Repealed (3); Cost recovery (4); Inter-laboratory comparison program (5);  Repealed (6).",https://www.ecolex.org/details/legislation/environmental-data-quality-assurance-regulation-bc-reg-30190-lex-faoc085922/?type=legislation&xsubjects=Mineral+resources&page=3570,Environment gen., Regulation,"Pollution control,Data collection/reporting,Monitoring,Access-to-information,Inspection","Americas, Arctic, ASIA AND THE PACIFIC, East Pacific, North America, North Atlantic",,ECOLEX_Legislation
Samoa Trust Estates Corporation Reconstruction Act 1990.,1990.0,Samoa,"This Act provides within the framework of privatisation, with respect to an exchange of land of the Government and the Corporation. The Act also provides that all of the estates and interests of the Corporation in all lands in Samoa held by it shall vest in such person as shall be determined by the Head of State acting on the advice of Cabinet by Order.",https://www.ecolex.org/details/legislation/samoa-trust-estates-corporation-reconstruction-act-1990-lex-faoc128254/?type=legislation&xsubjects=Mineral+resources&page=3570,Land & soil, Legislation,"Land tenure,Public land,Institution,Transfer","ASIA AND THE PACIFIC, Oceania, Polynesia, Small Island Developing States, South Pacific",,ECOLEX_Legislation
Act No.347/1990 on the organisation of ministries and other central bodies of state administration.,1990.0,Slovakia,"The Ministry of Environment is a central body of state administration for the creation and protection of environment including a) nature protection; b) protection of the quality and quantity of water and their rational utilisation; c) air protection; d) spatial planning and building order; e) waste management; f) provision of unified information system on environment and area monitoring; g) geological research and survey. The Ministry of Environment is a superior body of: a) The Slovak Environmental Inspection. Through the Inspection the Ministry of Environment of the Slovak Republic fulfils the functions of the main supervision body in environmental issues. b) The Slovak Hydro meteorological Institution. The Ministry of Agriculture of the Slovak Republic is a central body of state administration of the Slovak Republic for soil management, forestry, water management with the exception of competencies given in Article 6 par. 1 letter b), fishery, and hunting and for food industry. The Ministry of Agriculture is a superior body of: a) The State Veterinary Administration of the Slovak Republic; b) The Slovak Agricultural and Food Inspection. The Office for Nuclear Supervision of the Slovak Republic is a central body of state administration of the Slovak Republic for the area of nuclear supervision. The Office for Nuclear Supervision of the Slovak Republic provides the execution of state supervision over nuclear safety of nuclear facilities including supervision over the handling with radioactive waste, burnt fuel and other phases of fuel cycles as well as over nuclear material including their inspection and registration. It provides assessment of the goals of the programme of nuclear energy utilisation and the quality of selected facilities and instruments of nuclear technology and obligations of the Slovak Republic that follow from international treaties related to nuclear safety of nuclear facilities and handling with nuclear materials. The Slovak Office for Geodesy, Cartography and Cadastre is a central body of state administration of the Slovak Republic for geodesy, cartography and Cadastre of fixed properties.",https://www.ecolex.org/details/legislation/act-no3471990-on-the-organisation-of-ministries-and-other-central-bodies-of-state-administration-lex-faoc045135/?type=legislation&xsubjects=Mineral+resources&page=3570,"Agricultural & rural development, Energy, Environment gen., Land & soil", Legislation,Institution,"Eastern Europe, Europe, EUROPE AND CENTRAL ASIA, European Union Countries",The Law enters into force from the date of its official publication.,ECOLEX_Legislation
Arrêté n°289 AGREF. DPN du 28 aout 1990 portant création de la cellule de Coordination des Aires protégées de la Côtière (C.A.P.C.) à Fresco.,1990.0,Côte d'Ivoire,Le présent arrêté crée une cellule de Coordination des Aires protégées de la Côtière (C.A.P.C.) à Fresco à laquelle est confiée l'intégralité de la gestion et de la protection des aires protégées de la route côtière Grand-Lahou/Sassandra.,https://www.ecolex.org/details/legislation/arrete-n289-agref-dpn-du-28-aout-1990-portant-creation-de-la-cellule-de-coordination-des-aires-protegees-de-la-cotiere-capc-a-fresco-lex-faoc154794/?type=legislation&xsubjects=Mineral+resources&page=3570,"Forestry, Wild species & ecosystems", Regulation,"Protected area,Institution,Protection forest,Forestry protection measures,Forest management/forest conservation","Africa, AFRICA FAO, North Atlantic, Western Africa",,ECOLEX_Legislation
"Foreshore (Environmental Impact Assessment) Regulations, 1990.",1990.0,Ireland,"These Regulations provide, insofar as applications for leases and licences under section 2 of the Foreshore Act 1933 to carry out developments on the foreshore are concerned, for prescribed times for consideration of Environmental Impact Statements provided further to the European Communities (Environmental Impact Assessment) Regulations 1989 and lists prescribed bodies to whom the Environmental Impact Statements will be provided for comment.",https://www.ecolex.org/details/legislation/foreshore-environmental-impact-assessment-regulations-1990-lex-faoc028063/?type=legislation&xsubjects=Mineral+resources&page=3570,Land & soil, Regulation,"Land-use planning,EIA,Coastal zone management","Atlantic Ocean Islands, Europe, EUROPE AND CENTRAL ASIA, European Union Countries, North Atlantic, North-East Atlantic, Northern Europe",,ECOLEX_Legislation
"Nuisance Abatement Regulations ( Unreasonable Noise) Regulations, 1990",1990.0,Israel,"These regulations, of 11 Sections ans Two Annexes, establish conditions and define unreasonable noise according to tables which set maximum permissible noise levels as a function of type of neighborhood, time of day and duration of noise. The regulations relate to several types of noise, including background noise, impulsive noise, infrequent explosive noise and pure tones in the spectrum, and provide clear guidelines on criteria and methods for measuring noise. The regulations specify the measurement equipment to be used; detail measurement methods and conditions; and relate to noise level calculations taking into account the contribution of background and impulsive noise. The regulations do not apply to airplane, train or vehicular noise.",https://www.ecolex.org/details/legislation/nuisance-abatement-regulations-unreasonable-noise-regulations-1990-lex-faoc049189/?type=legislation&xsubjects=Mineral+resources&page=3570,Environment gen., Regulation,"Legal proceedings/administrative proceedings,Liability/compensation,Noise pollution","Asia, EUROPE AND CENTRAL ASIA, Mediterranean, Middle East, Western Asia",60 days from publication date,ECOLEX_Legislation
