Policy,Year,Country,Policy_Content,URL,Subject,Document_Type,Keyword,Geographical_area,Entry into force notes,Source
Decreto Nº 36.979/MEIC - Reglamento técnico RTCR 458/2011: Reglamento de Oficialización del Código Eléctrico de Costa Rica para la Seguridad de la Vida y de la Propiedad.,2011.0,Costa Rica,El presente Decreto aprueba el Reglamento técnico que tiene como propósito la salvaguarda práctica de las personas y de los bienes de los riesgos que se derivan de una inadecuada instalación eléctrica o del uso de materiales y equipos para el uso de la electricidad.,https://www.ecolex.org/details/legislation/decreto-no-36979meic-reglamento-tecnico-rtcr-4582011-reglamento-de-oficializacion-del-codigo-electrico-de-costa-rica-para-la-seguridad-de-la-vida-y-de-la-propiedad-lex-faoc112745/?type=legislation&xsubjects=Mineral+resources&page=1488,Energy, Regulation,"Energy conservation/energy production,Transport/storage,Non-governmental entity,Environmental standards,Internal trade","Americas, Central America, East Pacific, Latin America and the Caribbean, LATIN AMERICA AND THE CARIBBEAN FAO, North-East Pacific",,ECOLEX_Legislation
Directive 2011/92/EU of the European Parliament and of the Council on the assessment of the effects of certain public and private projects on the environment.,2011.0,,"This Directive concerns the assessment of the environmental effects of those public and private projects which are likely to have significant effects on the environment. Member States are required to adopt all measures necessary to ensure that, before consent is given, projects likely to have significant effects on the environment are made subject to a requirement for development consent and an assessment with regard to their effects. Environmental impact assessment must identify, describe and assess the following factors: (a) human beings, fauna and flora; (b) soil, water, air, climate and the landscape; (c) material assets and the cultural heritage; (d) the interaction between these factors.",https://www.ecolex.org/details/legislation/directive-201192eu-of-the-european-parliament-and-of-the-council-on-the-assessment-of-the-effects-of-certain-public-and-private-projects-on-the-environment-lex-faoc109726/?type=legislation&xsubjects=Mineral+resources&page=1488,Environment gen., Legislation,"EIA,Legal proceedings/administrative proceedings,Cultural heritage",,,ECOLEX_Legislation
Regional Law No. 126-OZ amending Regional Law No. 39-OZ “On protected areas”.,2011.0,Russian Federation,Article 4 shall be amended to add the following wording: “Organization of state regional supervision in the sphere of conservation and management of protected areas”.,https://www.ecolex.org/details/legislation/regional-law-no-126-oz-amending-regional-law-no-39-oz-on-protected-areas-lex-faoc125209/?type=legislation&xsubjects=Mineral+resources&page=1488,Environment gen., Legislation,Protected area,"Arctic, ASIA AND THE PACIFIC, Black Sea, Caspian Sea, CIS (Commonwealth of Independent States), Eastern Europe, Europe, EUROPE AND CENTRAL ASIA, North Pacific, North-West Pacific",This Regional Law enters into force after its official publication.,ECOLEX_Legislation
Ordinance relating to the Introductory Law to the federal environment legislation.,2011.0,Switzerland,The present Ordinance of 9 April 2011 enforces the Introductory Law implementing the federal environmental legislation. Article 1 establishes that the Environment and Energy Office is designated as the Cantonal Environment Protection Body. The text consists of 31 articles divided into 6 Parts as follows: Competences (I); Danger prevention (II); Environmental impact assessment (III); Measures for extraordinarily high air pollution (IV); Waste (V); Final provisions (VI). One Annex is enclosed.,https://www.ecolex.org/details/legislation/ordinance-relating-to-the-introductory-law-to-the-federal-environment-legislation-lex-faoc157601/?type=legislation&xsubjects=Mineral+resources&page=1488,Environment gen., Regulation,"Pollution control,EIA,Air quality/air pollution,Waste disposal,Enforcement/compliance","Alps, Europe, EUROPE AND CENTRAL ASIA, North-East Atlantic, Western Europe",The Ordinance enters into force on 1 January 2012.,ECOLEX_Legislation
Décret exécutif n° 11-440 du 18 Moharram 1433 correspondant au 13 décembre 2011 modifiant et complétant le décret exécutif n° 01-114 du 13 Safar 1422 correspondant au 7 mai 2001 portant recensement général de l’agriculture (RGA).,2011.0,Algeria,"Le présent décret modifie et de complète les dispositions du décret exécutif n° 01-114 du 13 Safar 1422 correspondant au 7 mai 2001 portant recensement général de l’agriculture (RGA), notamment les dispositions des articles 2; 4; 6; 9.",https://www.ecolex.org/details/legislation/decret-executif-n-11-440-du-18-moharram-1433-correspondant-au-13-decembre-2011-modifiant-et-completant-le-decret-executif-n-01-114-du-13-safar-1422-correspondant-au-7-mai-2001-portant-recensement-general-de-lagriculture-rga-lex-faoc136137/?type=legislation&xsubjects=Mineral+resources&page=1488,Agricultural & rural development, Regulation,"Agricultural development,Registration,Data collection/reporting,Cooperative/producer organization","Africa, Mediterranean, NEAR EAST AND NORTH AFRICA, Northern Africa",,ECOLEX_Legislation
Offshore Petroleum and Greenhouse Gas Storage Regulations 2011.,2011.0,Australia,"These Regulations provide for the elimination and minimization of the environmental, health and safety hazards and risks involved in undertaking petroleum and greenhouse gas activities and, in particular, to make provision in relation to: the manner in which certain petroleum activities, greenhouse gas activities or greenhouse gas injection and storage activities are carried out in the offshore area; the manner in which certain facilities are designed, constructed, installed, operated, modified and decommissioned in the offshore area; to ensure that operations in the offshore area are carried out in accordance with good oilfield practice and are compatible with optimum long-term recovery of petroleum; and to prescribe requirements for various administrative activities, fees and other matters.",https://www.ecolex.org/details/legislation/offshore-petroleum-and-greenhouse-gas-storage-regulations-2011-lex-faoc121441/?type=legislation&xsubjects=Mineral+resources&page=1488,"Air & atmosphere, Mineral resources", Regulation,"Ozone layer,Mining,Oil,Exploration,Transport/storage,Environmental planning,Authorization/permit","ASIA AND THE PACIFIC, Australia and New Zealand, Indian Ocean, Oceania, South Pacific",These Regulations enter into force on 1 January 2012.,ECOLEX_Legislation
Agricultural Law of the Canton Aargau (Agricultural Law Aargau).,2011.0,Switzerland,"The present Law implements the Federal Agriculture Act of 29 April 1998 and lays down provisions dealing with the promotion and support of a sustainable agriculture in the Canton Aargau. The text consists of 62 articles divided into 10 Parts as follows: General provisions (1); Vocational training and counselling (2); Structural improvements (3); Production, sale and innovation (4); Natural ressources (5); Rural land tenure and agricultural lease (6); Accompanying social measures (7); Execution and organization (8); Legal protection (9); Transitional and final provisions (10).",https://www.ecolex.org/details/legislation/agricultural-law-of-the-canton-aargau-agricultural-law-aargau-lex-faoc116227/?type=legislation&xsubjects=Mineral+resources&page=1488,Agricultural & rural development, Legislation,"Agricultural development,Farming,Family farming,Financial agricultural measures,Subsidy/incentive,Policy/planning,Agricultural land,Offences/penalties,Enforcement/compliance","Alps, Europe, EUROPE AND CENTRAL ASIA, North-East Atlantic, Western Europe",The present Law enters into force on 1 August 2012.,ECOLEX_Legislation
"Resolución Nº 222/11/OS - Modifica la Resolución Nº 400/06/OS, sobre el control metrológico y de calidad en estaciones de servicios y combustibles líquidos.",2011.0,Peru,"La presente Resolución modifica la que aprueba los procedimientos para el control metrológico en grifos y estaciones de servicios y para el control de calidad de los combustibles líquidos y otros productos derivados de los hidrocarburos, en relación al procedimiento de muestreo para el análisis de laboratorio.",https://www.ecolex.org/details/legislation/resolucion-no-22211os-modifica-la-resolucion-no-40006os-sobre-el-control-metrologico-y-de-calidad-en-estaciones-de-servicios-y-combustibles-liquidos-lex-faoc110124/?type=legislation&xsubjects=Mineral+resources&page=1488,Energy, Regulation,"Legal proceedings/administrative proceedings,Certification,Oil,Natural gas,Inspection,Internal trade,Data collection/reporting","Amazonia, Americas, East Pacific, Latin America and the Caribbean, LATIN AMERICA AND THE CARIBBEAN FAO, South America, South-Eastern Pacific",,ECOLEX_Legislation
"Resolución Nº 220/11/OS - Modifica la Resolución Nº 078/07/OS, Procedimiento de supervisión de la operatividad del Servicio de Alumbrado Público.",2011.0,Peru,"La presente Resolución modifica el Procedimiento de supervisión de la operatividad del Servicio de Alumbrado Público, en aspectos relacionados con el procedimiento y la metodología de supervisión.",https://www.ecolex.org/details/legislation/resolucion-no-22011os-modifica-la-resolucion-no-07807os-procedimiento-de-supervision-de-la-operatividad-del-servicio-de-alumbrado-publico-lex-faoc110121/?type=legislation&xsubjects=Mineral+resources&page=1488,Energy, Regulation,"Energy conservation/energy production,Environmental standards,Legal proceedings/administrative proceedings,Inspection,Concession","Amazonia, Americas, East Pacific, Latin America and the Caribbean, LATIN AMERICA AND THE CARIBBEAN FAO, South America, South-Eastern Pacific",,ECOLEX_Legislation
"Cabinet Regulation No. 960 of 2011 on Procedures for Purchasing and Selling Ferrous and Non-ferrous Metal Cuttings and Scrap and for Issuing Licences for the Purchase of Metal Cuttings and Scrap in Latvia, and also the Rate of the State Fee for a Licence for the Purchase of Ferrous and Non-ferrous Metal Cuttings and Scrap and the Payment Procedures of the State Fee",2011.0,Latvia,"The Regulation prescribes (1) the procedures, by which a licence for the purchase of ferrous and non-ferrous metal cuttings and scrap in the Republic of Latvia shall be issued; (2) the procedures, by which scrap shall be purchased and sold; (3) the rate of the State fee to be paid in euro for the licence; (4) the procedures, by which the State fee shall be paid; and (5) the procedures, by which the basic principles of radiation safety and nuclear safety for the protection against ionising radiation in procuring scrap shall be introduced. The Regulation shall apply to (1) articles of ferrous and non-ferrous metals and their parts, which are not usable for the intended purpose because of breakage, cutting up, wear or other reasons and which in accordance with the laws and regulations regarding waste classification and properties that make waste hazardous, have not been classified as hazardous waste; (2) scrap produced in conducting economic activity in manufacturing, construction, agriculture or other sectors of national economy, as well as in everyday life; and (3) non-reusable metal constructions of buildings, engineering structures or other infrastructure objects or their parts, which have been classified as construction waste or waste related to demolition of structures and which, in accordance with the laws and regulations.",https://www.ecolex.org/details/legislation/cabinet-regulation-no-960-of-2011-on-procedures-for-purchasing-and-selling-ferrous-and-non-ferrous-metal-cuttings-and-scrap-and-for-issuing-licences-for-the-purchase-of-metal-cuttings-and-scrap-in-latvia-and-also-the-rate-of-the-state-fee-for-a-licence-for-the-purchase-of-ferrous-and-non-ferrous-metal-cuttings-and-scrap-and-the-payment-procedures-of-the-state-fee-lex-faoc182067/?type=legislation&xsubjects=Mineral+resources&page=1488,Environment gen., Regulation,"Authorization/permit,Royalties/fees,Radiation,Nuclear energy,Waste management,Waste non-domestic sources,Hazardous waste,Waste domestic sources","Europe, EUROPE AND CENTRAL ASIA, European Union Countries, Northern Europe",,ECOLEX_Legislation
